candidate,family,fold,test_groups,fold_sharpe
macro_gate_trend_confirmation_weekly,macro_gate_trend_confirmation,4,"0,5",1.576981201716684
macro_gate_trend_confirmation_weekly,macro_gate_trend_confirmation,5,"1,2",1.2617586186797785
macro_gate_trend_confirmation_weekly,macro_gate_trend_confirmation,6,"1,3",0.44518850801036197
macro_gate_trend_confirmation_weekly,macro_gate_trend_confirmation,7,"1,4",1.5977431906325175
macro_gate_trend_confirmation_weekly,macro_gate_trend_confirmation,8,"1,5",1.497939431975685
macro_gate_trend_confirmation_weekly,macro_gate_trend_confirmation,9,"2,3",-0.25352350906852195
macro_gate_trend_confirmation_weekly,macro_gate_trend_confirmation,10,"2,4",0.5275522733074242
macro_gate_trend_confirmation_weekly,macro_gate_trend_confirmation,11,"2,5",0.3505220049790922
macro_gate_trend_confirmation_weekly,macro_gate_trend_confirmation,12,"3,4",-0.109488651567234
macro_gate_trend_confirmation_weekly,macro_gate_trend_confirmation,13,"3,5",-0.21892743391539915
macro_gate_trend_confirmation_weekly,macro_gate_trend_confirmation,14,"4,5",0.7809988713704944
macro_gate_trend_confirmation_biweekly,macro_gate_trend_confirmation,0,"0,1",2.634972163967019
macro_gate_trend_confirmation_biweekly,macro_gate_trend_confirmation,1,"0,2",1.132230921333454
macro_gate_trend_confirmation_biweekly,macro_gate_trend_confirmation,2,"0,3",-0.06368532914971078
macro_gate_trend_confirmation_biweekly,macro_gate_trend_confirmation,3,"0,4",1.4854003347579248
macro_gate_trend_confirmation_biweekly,macro_gate_trend_confirmation,4,"0,5",1.3283308299118621
macro_gate_trend_confirmation_biweekly,macro_gate_trend_confirmation,5,"1,2",2.043195486513516
macro_gate_trend_confirmation_biweekly,macro_gate_trend_confirmation,6,"1,3",0.7776329325093909
macro_gate_trend_confirmation_biweekly,macro_gate_trend_confirmation,7,"1,4",2.30133616950066
macro_gate_trend_confirmation_biweekly,macro_gate_trend_confirmation,8,"1,5",2.1900145494941525
macro_gate_trend_confirmation_biweekly,macro_gate_trend_confirmation,9,"2,3",-0.48685772305836184
macro_gate_trend_confirmation_biweekly,macro_gate_trend_confirmation,10,"2,4",0.6659382434902238
macro_gate_trend_confirmation_biweekly,macro_gate_trend_confirmation,11,"2,5",0.35339665026063466
macro_gate_trend_confirmation_biweekly,macro_gate_trend_confirmation,12,"3,4",-0.32470907322158976
macro_gate_trend_confirmation_biweekly,macro_gate_trend_confirmation,13,"3,5",-0.5404523414524083
macro_gate_trend_confirmation_biweekly,macro_gate_trend_confirmation,14,"4,5",0.7678945851864446
trend_first_macro_overlay_weekly,trend_first_macro_overlay,0,"0,1",2.1410314506351504
trend_first_macro_overlay_weekly,trend_first_macro_overlay,1,"0,2",1.1923850494858979
trend_first_macro_overlay_weekly,trend_first_macro_overlay,2,"0,3",0.2622497980301541
trend_first_macro_overlay_weekly,trend_first_macro_overlay,3,"0,4",1.6700600262051895
trend_first_macro_overlay_weekly,trend_first_macro_overlay,4,"0,5",1.576981201716684
trend_first_macro_overlay_weekly,trend_first_macro_overlay,5,"1,2",1.2617586186797785
trend_first_macro_overlay_weekly,trend_first_macro_overlay,6,"1,3",0.44518850801036197
trend_first_macro_overlay_weekly,trend_first_macro_overlay,7,"1,4",1.5977431906325175
trend_first_macro_overlay_weekly,trend_first_macro_overlay,8,"1,5",1.497939431975685
trend_first_macro_overlay_weekly,trend_first_macro_overlay,9,"2,3",-0.25352350906852195
trend_first_macro_overlay_weekly,trend_first_macro_overlay,10,"2,4",0.5275522733074242
trend_first_macro_overlay_weekly,trend_first_macro_overlay,11,"2,5",0.3505220049790922
trend_first_macro_overlay_weekly,trend_first_macro_overlay,12,"3,4",-0.109488651567234
trend_first_macro_overlay_weekly,trend_first_macro_overlay,13,"3,5",-0.21892743391539915
trend_first_macro_overlay_weekly,trend_first_macro_overlay,14,"4,5",0.7809988713704944
trend_first_macro_overlay_biweekly,trend_first_macro_overlay,0,"0,1",2.634972163967019
trend_first_macro_overlay_biweekly,trend_first_macro_overlay,1,"0,2",1.132230921333454
trend_first_macro_overlay_biweekly,trend_first_macro_overlay,2,"0,3",-0.06368532914971078
trend_first_macro_overlay_biweekly,trend_first_macro_overlay,3,"0,4",1.4854003347579248
trend_first_macro_overlay_biweekly,trend_first_macro_overlay,4,"0,5",1.3283308299118621
trend_first_macro_overlay_biweekly,trend_first_macro_overlay,5,"1,2",2.043195486513516
trend_first_macro_overlay_biweekly,trend_first_macro_overlay,6,"1,3",0.7776329325093909
trend_first_macro_overlay_biweekly,trend_first_macro_overlay,7,"1,4",2.30133616950066
trend_first_macro_overlay_biweekly,trend_first_macro_overlay,8,"1,5",2.1900145494941525
trend_first_macro_overlay_biweekly,trend_first_macro_overlay,9,"2,3",-0.48685772305836184
trend_first_macro_overlay_biweekly,trend_first_macro_overlay,10,"2,4",0.6659382434902238
trend_first_macro_overlay_biweekly,trend_first_macro_overlay,11,"2,5",0.35339665026063466
trend_first_macro_overlay_biweekly,trend_first_macro_overlay,12,"3,4",-0.32470907322158976
trend_first_macro_overlay_biweekly,trend_first_macro_overlay,13,"3,5",-0.5404523414524083
trend_first_macro_overlay_biweekly,trend_first_macro_overlay,14,"4,5",0.7678945851864446
relative_btc_eth_trend_weekly,relative_btc_eth_trend,0,"0,1",1.786276792795508
relative_btc_eth_trend_weekly,relative_btc_eth_trend,1,"0,2",0.317161123012029
relative_btc_eth_trend_weekly,relative_btc_eth_trend,2,"0,3",-0.338513326872367
relative_btc_eth_trend_weekly,relative_btc_eth_trend,3,"0,4",0.6268011380803539
relative_btc_eth_trend_weekly,relative_btc_eth_trend,4,"0,5",0.6103976397519351
relative_btc_eth_trend_weekly,relative_btc_eth_trend,5,"1,2",1.9151875252344748
