candidate,family,fold,fold_sharpe,test_groups
eth_btc_leadership_rotation,Family D: ETH/BTC Leadership Rotation,13,-0.23984915001857213,"3,5"
eth_btc_leadership_rotation,Family D: ETH/BTC Leadership Rotation,14,0.8587616153149841,"4,5"
trend_scanning_confirmation,Family E: Trend-Scanning Meta Strategy,0,,"0,1"
trend_scanning_confirmation,Family E: Trend-Scanning Meta Strategy,1,,"0,2"
trend_scanning_confirmation,Family E: Trend-Scanning Meta Strategy,2,,"0,3"
trend_scanning_confirmation,Family E: Trend-Scanning Meta Strategy,3,,"0,4"
trend_scanning_confirmation,Family E: Trend-Scanning Meta Strategy,4,,"0,5"
trend_scanning_confirmation,Family E: Trend-Scanning Meta Strategy,5,,"1,2"
trend_scanning_confirmation,Family E: Trend-Scanning Meta Strategy,6,,"1,3"
trend_scanning_confirmation,Family E: Trend-Scanning Meta Strategy,7,,"1,4"
trend_scanning_confirmation,Family E: Trend-Scanning Meta Strategy,8,,"1,5"
trend_scanning_confirmation,Family E: Trend-Scanning Meta Strategy,9,,"2,3"
trend_scanning_confirmation,Family E: Trend-Scanning Meta Strategy,10,,"2,4"
trend_scanning_confirmation,Family E: Trend-Scanning Meta Strategy,11,,"2,5"
trend_scanning_confirmation,Family E: Trend-Scanning Meta Strategy,12,,"3,4"
trend_scanning_confirmation,Family E: Trend-Scanning Meta Strategy,13,,"3,5"
trend_scanning_confirmation,Family E: Trend-Scanning Meta Strategy,14,,"4,5"
macro_gated_expansion_rebound,Family F: Macro-Gated Expansion Rebound,0,1.196359726310994,"0,1"
macro_gated_expansion_rebound,Family F: Macro-Gated Expansion Rebound,1,-0.5261636176405043,"0,2"
macro_gated_expansion_rebound,Family F: Macro-Gated Expansion Rebound,2,-0.05134214636042004,"0,3"
macro_gated_expansion_rebound,Family F: Macro-Gated Expansion Rebound,3,0.7381323459297187,"0,4"
macro_gated_expansion_rebound,Family F: Macro-Gated Expansion Rebound,4,0.12813189823398222,"0,5"
macro_gated_expansion_rebound,Family F: Macro-Gated Expansion Rebound,5,0.9959045328324891,"1,2"
macro_gated_expansion_rebound,Family F: Macro-Gated Expansion Rebound,6,1.2994622736110506,"1,3"
macro_gated_expansion_rebound,Family F: Macro-Gated Expansion Rebound,7,1.6267832296150866,"1,4"
macro_gated_expansion_rebound,Family F: Macro-Gated Expansion Rebound,8,1.3290627317328338,"1,5"
macro_gated_expansion_rebound,Family F: Macro-Gated Expansion Rebound,9,-0.7421219715644807,"2,3"
macro_gated_expansion_rebound,Family F: Macro-Gated Expansion Rebound,10,0.31635632372660893,"2,4"
macro_gated_expansion_rebound,Family F: Macro-Gated Expansion Rebound,11,-0.3600488649961282,"2,5"
macro_gated_expansion_rebound,Family F: Macro-Gated Expansion Rebound,12,1.151132828295696,"3,4"
macro_gated_expansion_rebound,Family F: Macro-Gated Expansion Rebound,13,0.2644575513542259,"3,5"
macro_gated_expansion_rebound,Family F: Macro-Gated Expansion Rebound,14,1.0416430989740086,"4,5"
agentic_three_signal_ensemble,Family G: Agentic Deterministic Ensemble,0,2.9472904859168585,"0,1"
agentic_three_signal_ensemble,Family G: Agentic Deterministic Ensemble,1,0.7817214291305278,"0,2"
agentic_three_signal_ensemble,Family G: Agentic Deterministic Ensemble,2,1.8987352112951874,"0,3"
agentic_three_signal_ensemble,Family G: Agentic Deterministic Ensemble,3,2.505514257007618,"0,4"
agentic_three_signal_ensemble,Family G: Agentic Deterministic Ensemble,4,1.9427893645882572,"0,5"
agentic_three_signal_ensemble,Family G: Agentic Deterministic Ensemble,5,0.7989925329064429,"1,2"
agentic_three_signal_ensemble,Family G: Agentic Deterministic Ensemble,6,1.854066827933294,"1,3"
agentic_three_signal_ensemble,Family G: Agentic Deterministic Ensemble,7,2.3964237332619325,"1,4"
agentic_three_signal_ensemble,Family G: Agentic Deterministic Ensemble,8,1.8640549976831617,"1,5"
agentic_three_signal_ensemble,Family G: Agentic Deterministic Ensemble,9,-0.40343025708066316,"2,3"
agentic_three_signal_ensemble,Family G: Agentic Deterministic Ensemble,10,-0.07446332976875224,"2,4"
agentic_three_signal_ensemble,Family G: Agentic Deterministic Ensemble,11,-0.926939424332236,"2,5"
agentic_three_signal_ensemble,Family G: Agentic Deterministic Ensemble,12,1.266722937176333,"3,4"
agentic_three_signal_ensemble,Family G: Agentic Deterministic Ensemble,13,0.6692753271915532,"3,5"
agentic_three_signal_ensemble,Family G: Agentic Deterministic Ensemble,14,1.2161365136636648,"4,5"
