name,family,benchmark_group,split,cost_bps,selected_development_candidate,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,Average Winning Period,Average Losing Period,Time in BTC,Time in ETH,Time in Cash
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,agentic_candidate,development,10,False,0.4398414824462953,1.0663724844449396,1.032793538141511,0.6972329964215017,0.4296246492510659,-0.630838592986491,0.3136288998357964,0.032430213464696225,0.4317186644772852,0.059250000000000004,0.5682813355227148,11.83702791461412,-0.24100230096760855,0.3696099486174176,1.170224411603722,0.0202977310954636,-0.01781944663941941,0.585112205801861,0.585112205801861,0.41488779419813904
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,agentic_candidate,holdout,10,False,-0.03345111327205197,-0.03552322734095227,-0.03629253127113962,-0.13844333402114756,0.2284287510812721,-0.24162314139980356,0.24349442379182157,0.02648698884758364,0.3294609665427509,0.01425,0.6705390334572491,9.66775092936803,-0.1085966051156162,0.1830989696119456,0.9442379182156134,0.011660370294784887,-0.011842069986899842,0.4721189591078067,0.4721189591078067,0.5278810408921933
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,agentic_candidate,development,25,False,0.41445096918405566,1.0247972494525492,0.994741535086197,0.6481658482352124,0.4297282832911377,-0.6394211764049251,0.31198686371100165,0.032430213464696225,0.4317186644772852,0.148125,0.5682813355227148,11.83702791461412,-0.24224473205684272,0.36459701776324493,1.170224411603722,0.020346072614925752,-0.017823389965584076,0.585112205801861,0.585112205801861,0.41488779419813904
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,agentic_candidate,holdout,25,False,-0.04742036173920605,-0.09890731558994319,-0.10120439037909727,-0.19129283142855832,0.2286600613415243,-0.24789408669982504,0.241635687732342,0.02648698884758364,0.3294609665427509,0.035625000000000004,0.6705390334572491,9.66775092936803,-0.11062406508194689,0.18132751015374726,0.9442379182156134,0.011691557145663953,-0.01185677876806468,0.4721189591078067,0.4721189591078067,0.5278810408921933
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,agentic_candidate,development,50,False,0.373078739140563,0.9553889783724727,0.9301571935505337,0.5710681473658574,0.42997334304817053,-0.6532998572262312,0.3103448275862069,0.032430213464696225,0.4317186644772852,0.29625,0.5682813355227148,11.83702791461412,-0.24431382557673564,0.3562722944580139,1.170224411603722,0.020364091183795285,-0.017906094004843498,0.585112205801861,0.585112205801861,0.41488779419813904
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,agentic_candidate,holdout,50,False,-0.0702797441474694,-0.20416677247601625,-0.20942210794016325,-0.27214741479624915,0.22915349841678057,-0.25824145417690747,0.2379182156133829,0.02648698884758364,0.3294609665427509,0.07125000000000001,0.6705390334572491,9.66775092936803,-0.11399692775202674,0.1783780270478954,0.9442379182156134,0.0117863427452685,-0.01186174782762802,0.4721189591078067,0.4721189591078067,0.5278810408921933
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,agentic_candidate,development,100,False,0.29376688175418675,0.8162963094264388,0.7979682052730648,0.4323094871620723,0.4307340965637467,-0.67952911161548,0.3092501368363437,0.032430213464696225,0.4317186644772852,0.5925,0.5682813355227148,11.83702791461412,-0.24844591900840574,0.3397355506572033,1.170224411603722,0.02026655031596089,-0.018215490695250063,0.585112205801861,0.585112205801861,0.41488779419813904
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,agentic_candidate,holdout,100,False,-0.1144538335363442,-0.412612135025107,-0.4249224927024764,-0.410890584088468,0.2305416558201661,-0.27855063602942376,0.23605947955390336,0.02648698884758364,0.3294609665427509,0.14250000000000002,0.6705390334572491,9.66775092936803,-0.12071929219632771,0.1724901208029863,0.9442379182156134,0.011730663802661303,-0.012164215616553316,0.4721189591078067,0.4721189591078067,0.5278810408921933
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,agentic_candidate,development,10,False,0.12440015350529676,0.9155678016180778,0.4486601376160941,0.9733014365926517,0.13826734805977248,-0.12781256538652475,0.03065134099616858,0.007006020799124248,0.0421455938697318,0.012799999999999999,0.9578544061302682,2.5571975916803504,-0.08140378040447938,0.23802294915333921,0.11494252873563218,0.025575326240199696,-0.014259981231450728,0.05747126436781609,0.05747126436781609,0.9425287356321839
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,agentic_candidate,holdout,10,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,agentic_candidate,development,25,False,0.12012239507310007,0.8889838154592928,0.4387761078085464,0.9398324390863416,0.138087255781709,-0.12781256538652475,0.03065134099616858,0.007006020799124248,0.0421455938697318,0.031999999999999994,0.9578544061302682,2.5571975916803504,-0.08351411752811955,0.23477759180079505,0.11494252873563218,0.025460147668771128,-0.0144876598028793,0.05747126436781609,0.05747126436781609,0.9425287356321839
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,agentic_candidate,holdout,25,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,agentic_candidate,development,50,False,0.11301923492090848,0.8441382971691459,0.4211510922253031,0.8842576203608865,0.13784985460576651,-0.12781256538652463,0.03065134099616858,0.007006020799124248,0.0421455938697318,0.06399999999999999,0.9578544061302682,2.5571975916803504,-0.08702595525610257,0.22938025958112385,0.11494252873563218,0.02526818338305684,-0.014867124088593585,0.05747126436781609,0.05747126436781609,0.9425287356321839
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,agentic_candidate,holdout,50,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,agentic_candidate,development,100,False,0.09891169713274883,0.7526858426269799,0.38207299311021714,0.773880853057168,0.13761166705623326,-0.12781256538652475,0.030103995621237,0.007006020799124248,0.0421455938697318,0.12799999999999997,0.9578544061302682,2.5571975916803504,-0.09402941516925079,0.2186290237839621,0.11494252873563218,0.025373442475396458,-0.015387368695734437,0.05747126436781609,0.05747126436781609,0.9425287356321839
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,agentic_candidate,holdout,100,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
vol_compression_breakout_score,Family C: Volatility Compression Breakout,agentic_candidate,development,10,True,0.3797313713313115,1.0918393974893459,1.0166423957761963,0.6395034048314954,0.35147167083838093,-0.5937910079327381,0.2435686918445539,0.030842911877394633,0.3794471811713191,0.05635,0.6205528188286809,11.257662835249041,-0.26623451411055776,0.3766725684947665,0.9064039408866995,0.01907529046806028,-0.016136728325711176,0.45320197044334976,0.45320197044334976,0.5467980295566502
