date,chosen_action,q_cash,q_btc,q_eth,q_btc_eth_50_50
2020-01-03,eth,0.11183843154820561,0.13920402444775717,0.1497673879357771,0.14501738506914902
2020-01-17,eth,0.1534737759035925,0.18083936880314408,0.191402732291164,0.18665272942453592
2020-01-31,eth,0.11259914542065566,0.13996473832020723,0.15052810180822715,0.14577809894159907
2020-02-14,eth,0.02620820202108899,0.053573794920640565,0.0641371584086605,0.05938715554203241
2020-02-28,eth,0.01953612686560509,0.046901719765156655,0.05746508325317658,0.0527150803865485
2020-03-13,eth,0.2030167449687274,0.23038233786827897,0.2409457013562989,0.2361956984896708
2020-03-27,eth,0.28048939505482917,0.30785498795438077,0.31841835144240066,0.3136683485757726
2020-04-10,eth,0.3051089720805703,0.3324745649801219,0.3430379284681418,0.3382879256015137
2020-04-24,eth,0.14554782450402587,0.17291341740357744,0.18347678089159736,0.17872677802496928
2020-05-08,eth,0.1837764985585251,0.21114209145807666,0.2217054549460966,0.2169554520794685
2020-05-22,eth,0.18604046724957934,0.2134060601491309,0.22396942363715083,0.21921942077052275
2020-06-05,eth,0.1798883862349014,0.20725397913445295,0.21781734262247288,0.2130673397558448
2020-06-19,eth,0.216009037869143,0.2433746307686946,0.2539379942567145,0.2491879913900864
2020-07-03,eth,0.2073896874134427,0.2347552803129943,0.2453186438010142,0.24056864093438612
2020-07-17,eth,0.20094548765926684,0.22831108055881844,0.23887444404683836,0.23412444118021025
2020-07-31,eth,0.06573456611808468,0.09310015901763624,0.10366352250565615,0.09891351963902807
2020-08-14,eth,-0.02341884221831575,0.003946750681235775,0.014510114169255683,0.009760111302627605
2020-08-28,eth,0.07294532497743159,0.10031091787698315,0.11087428136500306,0.10612427849837498
2020-09-11,eth,0.08700432809071248,0.11436992099026407,0.12493328447828399,0.12018328161165591
2020-09-25,eth,0.11322102908887763,0.1405866219884292,0.15114998547644912,0.14639998260982104
2020-10-09,eth,0.08642521669716018,0.11379080959671174,0.12435417308473165,0.11960417021810359
2020-10-23,eth,0.13048462981659634,0.15785022271614788,0.1684135862041678,0.16366358333753972
2020-11-06,eth,0.17411722449871042,0.201482817398262,0.2120461808862819,0.20729617801965383
2020-11-20,eth,0.21228963325007782,0.23965522614962942,0.2502185896376493,0.24546858677102124
2020-12-04,eth,0.18336229397897372,0.21072788687852528,0.22129125036654518,0.2165412474999171
2020-12-18,eth,0.24875163471872577,0.27611722761827734,0.28668059110629723,0.28193058823966916
2021-01-01,eth,0.30513367558283877,0.33249926848239036,0.34306263197041026,0.3383126291037822
2021-01-15,eth,0.19636627671992912,0.2237318696194807,0.2342952331075006,0.22954523024087253
2021-01-29,eth,0.043898397647052556,0.07126399054660412,0.08182735403462403,0.07707735116799597
2021-02-12,eth,0.1271748409722627,0.15454043387181426,0.1651037973598342,0.1603537944932061
2021-02-26,eth,0.15342068357177602,0.18078627647132758,0.1913496399593475,0.18659963709271943
2021-03-12,eth,0.24698890386543573,0.2743544967649873,0.2849178602530072,0.2801678573863791
2021-03-26,eth,0.15701101358855324,0.18437660648810483,0.19493996997612473,0.19018996710949665
2021-04-09,eth,0.12651809624932492,0.15388368914887646,0.1644470526368964,0.15969704977026833
2021-04-23,eth,-0.15531670469794304,-0.12795111179839141,-0.11738774831037152,-0.1221377511769996
2021-05-07,eth,-0.22271803818239025,-0.1953524452828387,-0.18478908179481876,-0.18953908466144684
2021-05-21,eth,-0.10660917515232413,-0.07924358225277256,-0.06868021876475267,-0.07343022163138074
2021-06-04,eth,0.010531688720632135,0.0378972816201837,0.04846064510820361,0.04371064224157553
2021-06-18,eth,0.15088162908126523,0.1782472219808168,0.18881058546883672,0.18406058260220864
2021-07-02,eth,0.06856881609110996,0.09593440899066152,0.10649777247868143,0.10174776961205335
2021-07-16,eth,0.06975300745677396,0.09711860035632552,0.10768196384434543,0.10293196097771735
2021-07-30,eth,0.07591365737828554,0.10327925027783712,0.11384261376585703,0.10909261089922895
2021-08-13,eth,0.03677053585398403,0.0641361287535356,0.07469949224155552,0.06994948937492744
2021-08-27,eth,0.05316287406463592,0.08052846696418749,0.0910918304522074,0.08634182758557932
2021-09-10,eth,0.053748159469672964,0.08111375236922452,0.09167711585724445,0.08692711299061637
2021-09-24,eth,0.09747252216531815,0.12483811506486972,0.13540147855288964,0.13065147568626156
2021-10-08,eth,0.15746684933393224,0.18483244223348383,0.19539580572150372,0.19064580285487565
2021-10-22,eth,0.15978040050030332,0.18714599339985488,0.1977093568878748,0.19295935402124673
2021-11-05,eth,0.06207110895274594,0.0894367018522975,0.10000006534031743,0.09525006247368935
2021-11-19,eth,0.04899588022256493,0.0763614731221165,0.08692483661013642,0.08217483374350834
2021-12-03,eth,0.04915510530954625,0.07652069820909782,0.08708406169711773,0.08233405883048965
2021-12-17,eth,0.015147862926018676,0.04251345582557026,0.053076819313590165,0.04832681644696209
2021-12-31,eth,0.044393170818781996,0.07175876371833356,0.08232212720635348,0.0775721243397254
2022-01-14,eth,0.051009883884466846,0.07837547678401842,0.08893884027203833,0.08418883740541025
2022-01-28,eth,0.06511488566857285,0.09248047856812441,0.10304384205614432,0.09829383918951624
2022-02-11,eth,0.050023858579727916,0.07738945147927949,0.0879528149672994,0.08320281210067132
2022-02-25,eth,0.020004515838676185,0.04737010873822776,0.05793347222624768,0.0531834693596196
2022-03-11,eth,0.0946153370808509,0.12198092998040248,0.1325442934684224,0.1277942906017943
2022-03-25,eth,0.09844936092770636,0.1258149538272579,0.13637831731527783,0.13162831444864975
2022-04-08,eth,0.07840760246971899,0.10577319536927056,0.11633655885729048,0.1115865559906624
2022-04-22,eth,0.08995264279705753,0.1173182356966091,0.127881599184629,0.12313159631800093
2022-05-06,eth,0.07179667170249787,0.09916226460204944,0.10972562809006935,0.10497562522344127
2022-05-20,eth,-0.1488882891334566,-0.12152269623390499,-0.1109593327458851,-0.11570933561251318
2022-06-03,eth,-0.1417573515402951,-0.1143917586407435,-0.1038283951527236,-0.10857839801935168
2022-06-17,eth,0.051723105462739914,0.07908869836229147,0.08965206185031138,0.0849020589836833
2022-07-01,eth,0.0074823695916032135,0.034847962491154794,0.0454113259791747,0.040661323112546624
2022-07-15,eth,0.02375117299336356,0.05111676589291513,0.061680129380935055,0.056930126514306977
2022-07-29,eth,0.017733362616974627,0.04509895551652621,0.05566231900454612,0.05091231613791805
