name,category,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Average Holdings,Best Month
rl_fitted_q_linear_btc_eth_r14_raw_return,rl_policy,development,10,0.9008905212905804,1.1928589142778188,1.6200187970513562,1.1360173121299517,0.8431833880806171,-0.7930253453633332,0.5232876712328767,0.000547945205479452,1.0,0.001,0.0,0.2,-0.4484731448581286,1.0,
rl_fitted_q_linear_btc_eth_r14_raw_return,rl_policy,holdout,10,-0.3510212516138813,-0.23851086051698195,-0.355579393263979,-0.5199146817004417,0.7232706923508007,-0.6751516430846409,0.49256505576208176,0.0,1.0,0.0,0.0,0.0,-0.32214578050827136,1.0,
rl_fitted_q_linear_btc_eth_r14_raw_return,rl_policy,development,25,0.900319340141359,1.1925008515583966,1.6196066170433965,1.1352970562736138,0.8431849918840064,-0.793025345363334,0.5232876712328767,0.000547945205479452,1.0,0.0025,0.0,0.2,-0.4484731448581286,1.0,
rl_fitted_q_linear_btc_eth_r14_raw_return,rl_policy,holdout,25,-0.3510212516138813,-0.23851086051698195,-0.355579393263979,-0.5199146817004417,0.7232706923508007,-0.6751516430846409,0.49256505576208176,0.0,1.0,0.0,0.0,0.0,-0.32214578050827136,1.0,
rl_fitted_q_linear_btc_eth_r14_raw_return,rl_policy,development,50,0.8993658427518818,1.1919024069408728,1.6189107647312748,1.1340947020297654,0.8431888508576466,-0.7930253453633338,0.5232876712328767,0.000547945205479452,1.0,0.005,0.0,0.2,-0.4484731448581286,1.0,
rl_fitted_q_linear_btc_eth_r14_raw_return,rl_policy,holdout,50,-0.3510212516138813,-0.23851086051698195,-0.355579393263979,-0.5199146817004417,0.7232706923508007,-0.6751516430846409,0.49256505576208176,0.0,1.0,0.0,0.0,0.0,-0.32214578050827136,1.0,
rl_fitted_q_linear_btc_eth_r14_raw_return,rl_policy,development,100,0.8974530837416277,1.190699253998248,1.6174857747858522,1.131682724882456,0.8432010161017661,-0.7930253453633334,0.5232876712328767,0.000547945205479452,1.0,0.01,0.0,0.2,-0.4484731448581286,1.0,
rl_fitted_q_linear_btc_eth_r14_raw_return,rl_policy,holdout,100,-0.3510212516138813,-0.23851086051698195,-0.355579393263979,-0.5199146817004417,0.7232706923508007,-0.6751516430846409,0.49256505576208176,0.0,1.0,0.0,0.0,0.0,-0.32214578050827136,1.0,
btc_buy_hold,benchmark,development,0,0.6694754454370575,1.121247667247388,1.4932051537142361,0.873655174396313,0.6503008302381711,-0.7662925431645939,0.5134099616858238,0.0,1.0,0.0,0.0,0.0,-0.3729069866897433,1.0,
btc_buy_hold,benchmark,holdout,0,-0.21821159706853388,-0.33192186171076005,-0.46807366395507555,-0.42653704055876956,0.44404818879221286,-0.5115888570490235,0.49070631970260226,0.0,1.0,0.0,0.0,0.0,-0.17650783621446742,1.0,
eth_buy_hold,benchmark,development,0,0.9149468368238329,1.201602180661991,1.6325594227112128,1.1537422380928313,0.8431784130084603,-0.7930253453633336,0.5238095238095238,0.0,1.0,0.0,0.0,0.0,-0.4484731448581286,1.0,
eth_buy_hold,benchmark,holdout,0,-0.3510212516138813,-0.23851086051698195,-0.355579393263979,-0.5199146817004417,0.7232706923508007,-0.6751516430846409,0.49256505576208176,0.0,1.0,0.0,0.0,0.0,-0.32214578050827136,1.0,
btc_eth_50_50,benchmark,development,0,0.8391754124633044,1.2218838168592847,1.595736110134128,1.100504646341974,0.7129619382103335,-0.7625369100009565,0.5270935960591133,0.0,1.0,0.0,0.0,0.0,-0.4105176007687238,2.0,
btc_eth_50_50,benchmark,holdout,0,-0.27206512833669316,-0.284780677797741,-0.409522389245089,-0.45948250290703135,0.5616554100620985,-0.5921120534849638,0.5037174721189591,0.0,1.0,0.0,0.0,0.0,-0.2510281674199146,2.0,
defensive_btc_eth_cash_rule,benchmark,development,25,0.3454394716613338,0.9508026169536014,0.6349840683066399,0.7161678344721337,0.3949430875559401,-0.4823442984086923,0.12698412698412698,0.006568144499178982,0.22988505747126436,0.030000000000000002,0.7701149425287357,2.397372742200328,-0.2460882280306842,0.45977011494252873,
defensive_btc_eth_cash_rule,benchmark,holdout,25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
prior_tier1_regime_momentum:u10_r7_momentum_63d_k3_balanced_v4_reduced_momentum,prior_reference,holdout,25,0.0488243428998811,0.3128540587490874,0.3220286090275968,0.1852844282933704,0.2628318022495202,-0.2635102331566419,0.2602230483271375,0.045442055923711,0.2676297074511072,0.0611195652173913,0.7323702925488929,16.586350412154516,-0.0860246039762708,1.5594795539033457,0.1965022636695883
prior_risk_managed_momentum:rm_mom_u20_r14_m21_k3_vol30_tv25,prior_reference,holdout,25,-0.1736939219247965,-0.6628043343936051,-0.9279275499896256,-0.4705861414696526,0.2431129785011824,-0.3691012263606954,0.4721189591078067,0.0339156578859179,0.3267068101274955,0.0456165598565596,0.6732931898725045,12.379215128360052,-0.1137116257243747,3.0780669144981414,
