strategy,cost_bps,fold,test_groups,fold_start,fold_end,fold_sharpe,fold_return,positive_fold
btc_eth_macro_gate_balanced,25,4,0-5,2019-07-05,2025-01-03,0.4194142059256709,0.13620290273456526,True
btc_eth_macro_gate_balanced,25,5,1-2,2020-06-05,2022-04-01,1.7479699457956568,3.0465396105177645,True
btc_eth_macro_gate_balanced,25,6,1-3,2020-06-05,2023-03-03,0.9879684126785878,1.2004559459636979,True
btc_eth_macro_gate_balanced,25,7,1-4,2020-06-05,2024-02-02,2.194226532422501,4.443043553585066,True
btc_eth_macro_gate_balanced,25,8,1-5,2020-06-05,2025-01-03,2.0992569884216246,3.9544747280618484,True
btc_eth_macro_gate_balanced,25,9,2-3,2021-05-07,2023-03-03,-0.5941757859782042,-0.5755069271595237,False
btc_eth_macro_gate_balanced,25,10,2-4,2021-05-07,2024-02-02,0.23494473848261296,0.05002524040714906,True
btc_eth_macro_gate_balanced,25,11,2-5,2021-05-07,2025-01-03,0.048336217435910815,-0.04422526363990398,False
btc_eth_macro_gate_balanced,25,12,3-4,2022-04-08,2024-02-02,-0.34198030839001925,-0.4290098439515255,False
btc_eth_macro_gate_balanced,25,13,3-5,2022-04-08,2025-01-03,-0.4547284382798156,-0.48026205003431155,False
btc_eth_macro_gate_balanced,25,14,4-5,2023-03-10,2025-01-03,0.764738685890744,0.2856227834524119,True
top10_macro_gated_momentum,25,0,0-1,2019-07-05,2021-04-30,1.8048407659497545,5.176659755767304,True
top10_macro_gated_momentum,25,1,0-2,2019-07-05,2022-04-01,0.15437554508247195,-0.12083893434467552,False
top10_macro_gated_momentum,25,2,0-3,2019-07-05,2023-03-03,-0.9588899611078078,-0.8907141011775639,False
top10_macro_gated_momentum,25,3,0-4,2019-07-05,2024-02-02,0.1722134829208897,-0.08230016591278788,False
top10_macro_gated_momentum,25,4,0-5,2019-07-05,2025-01-03,0.5129872892812519,0.22581125990375428,True
top10_macro_gated_momentum,25,5,1-2,2020-06-05,2022-04-01,1.8771256311216655,5.073556548547453,True
top10_macro_gated_momentum,25,6,1-3,2020-06-05,2023-03-03,0.4058117783067732,-0.24501423870250527,False
top10_macro_gated_momentum,25,7,1-4,2020-06-05,2024-02-02,1.9821904497256737,5.33979603358194,True
top10_macro_gated_momentum,25,8,1-5,2020-06-05,2025-01-03,2.180183273239347,7.468339074276612,True
top10_macro_gated_momentum,25,9,2-3,2021-05-07,2023-03-03,-1.1588892035551295,-0.8925383439103737,False
top10_macro_gated_momentum,25,10,2-4,2021-05-07,2024-02-02,-0.003642169048179755,-0.09761876850720352,False
top10_macro_gated_momentum,25,11,2-5,2021-05-07,2025-01-03,0.4512189361930994,0.2053495415414508,True
top10_macro_gated_momentum,25,12,3-4,2022-04-08,2024-02-02,-1.205186137418109,-0.8878276713827428,False
top10_macro_gated_momentum,25,13,3-5,2022-04-08,2025-01-03,-0.9042859396579906,-0.8501665813142223,False
top10_macro_gated_momentum,25,14,4-5,2023-03-10,2025-01-03,0.5317652859912135,0.258187057527582,True
top20_macro_gated_momentum,25,0,0-1,2019-07-05,2021-04-30,1.5974861274504755,3.6401443038793184,True
top20_macro_gated_momentum,25,1,0-2,2019-07-05,2022-04-01,-0.25456884721375317,-0.38746492482178585,False
top20_macro_gated_momentum,25,2,0-3,2019-07-05,2023-03-03,-0.7343609504361309,-0.7279829402602109,False
top20_macro_gated_momentum,25,3,0-4,2019-07-05,2024-02-02,-0.06523632392470842,-0.2468275227351202,False
top20_macro_gated_momentum,25,4,0-5,2019-07-05,2025-01-03,0.3159109509717803,0.03239230779176849,True
top20_macro_gated_momentum,25,5,1-2,2020-06-05,2022-04-01,1.6628164986766951,3.6837751082061274,True
top20_macro_gated_momentum,25,6,1-3,2020-06-05,2023-03-03,0.9000143965823604,1.0799898406568125,True
top20_macro_gated_momentum,25,7,1-4,2020-06-05,2024-02-02,1.913866187534847,4.7591648938190545,True
top20_macro_gated_momentum,25,8,1-5,2020-06-05,2025-01-03,2.2106198679158053,6.8942310229854105,True
top20_macro_gated_momentum,25,9,2-3,2021-05-07,2023-03-03,-0.9282086543791044,-0.7254251915502972,False
top20_macro_gated_momentum,25,10,2-4,2021-05-07,2024-02-02,-0.2558450835389329,-0.23974551863615057,False
top20_macro_gated_momentum,25,11,2-5,2021-05-07,2025-01-03,0.23933729000633078,0.042099787520816445,True
top20_macro_gated_momentum,25,12,3-4,2022-04-08,2024-02-02,-0.8027409860483468,-0.6623831074254409,False
top20_macro_gated_momentum,25,13,3-5,2022-04-08,2025-01-03,-0.4701584307129874,-0.5372201011111116,False
top20_macro_gated_momentum,25,14,4-5,2023-03-10,2025-01-03,0.5840972877532904,0.28136479089936417,True
equal_weight_top10,25,0,0-1,2019-07-05,2021-04-30,1.7159925162739047,8.171519751843215,True
equal_weight_top10,25,1,0-2,2019-07-05,2022-04-01,0.1871357128357189,-0.33495765947563194,False
equal_weight_top10,25,2,0-3,2019-07-05,2023-03-03,-0.7571921057017197,-0.8574370480038987,False
equal_weight_top10,25,3,0-4,2019-07-05,2024-02-02,0.3302901979945607,-0.04886098976873576,False
equal_weight_top10,25,4,0-5,2019-07-05,2025-01-03,0.6100575228642825,0.34147518574747315,True
equal_weight_top10,25,5,1-2,2020-06-05,2022-04-01,1.8467615297219873,10.901161000165473,True
equal_weight_top10,25,6,1-3,2020-06-05,2023-03-03,1.0101644363492148,1.5512129694279135,True
equal_weight_top10,25,7,1-4,2020-06-05,2024-02-02,2.19666163945683,16.020959124760463,True
equal_weight_top10,25,8,1-5,2020-06-05,2025-01-03,2.276229415359912,23.00615899240263,True
equal_weight_top10,25,9,2-3,2021-05-07,2023-03-03,-0.5634558944869875,-0.815007251767246,False
equal_weight_top10,25,10,2-4,2021-05-07,2024-02-02,0.5297985866287395,0.23421840660871673,True
equal_weight_top10,25,11,2-5,2021-05-07,2025-01-03,0.7779824321762515,0.7407270109295714,True
equal_weight_top10,25,12,3-4,2022-04-08,2024-02-02,-0.5737522313523036,-0.7354246357978829,False
equal_weight_top10,25,13,3-5,2022-04-08,2025-01-03,-0.18146449517121913,-0.626846042461298,False
equal_weight_top10,25,14,4-5,2023-03-10,2025-01-03,1.057390842625173,1.489575874150995,True
pure_top10_momentum,25,0,0-1,2019-07-05,2021-04-30,1.7325031235615296,8.180702639997454,True
pure_top10_momentum,25,1,0-2,2019-07-05,2022-04-01,0.31419884849750546,-0.21815399400759206,False
pure_top10_momentum,25,2,0-3,2019-07-05,2023-03-03,-0.9279681171352949,-0.9265255769216036,False
pure_top10_momentum,25,3,0-4,2019-07-05,2024-02-02,0.2476711808483987,-0.1905956953339032,False
pure_top10_momentum,25,4,0-5,2019-07-05,2025-01-03,0.7508562995603363,0.6921669197413884,True
pure_top10_momentum,25,5,1-2,2020-06-05,2022-04-01,1.963849805143927,12.680496493753116,True
pure_top10_momentum,25,6,1-3,2020-06-05,2023-03-03,0.7434376597726176,0.28563243861387266,True
pure_top10_momentum,25,7,1-4,2020-06-05,2024-02-02,2.0769932416321417,13.162702971102417,True
pure_top10_momentum,25,8,1-5,2020-06-05,2025-01-03,2.334755083029841,28.609006677706176,True
pure_top10_momentum,25,9,2-3,2021-05-07,2023-03-03,-0.6996991012843958,-0.8905131092117787,False
pure_top10_momentum,25,10,2-4,2021-05-07,2024-02-02,0.5235881009816014,0.20612257974366677,True
pure_top10_momentum,25,11,2-5,2021-05-07,2025-01-03,0.9857779526590084,1.5215590265946695,True
pure_top10_momentum,25,12,3-4,2022-04-08,2024-02-02,-0.8936814880502959,-0.8866539446012676,False
pure_top10_momentum,25,13,3-5,2022-04-08,2025-01-03,-0.24345060875201294,-0.7630350563702115,False
pure_top10_momentum,25,14,4-5,2023-03-10,2025-01-03,1.0068779309815767,1.6104382639964516,True
btc_buy_hold,25,0,0-1,2019-07-05,2021-04-30,1.5741009088235343,4.1763841922468306,True
btc_buy_hold,25,1,0-2,2019-07-05,2022-04-01,0.042545310060596836,-0.3214779456086584,False
btc_buy_hold,25,2,0-3,2019-07-05,2023-03-03,-0.3895219238937037,-0.5914866024099559,False
btc_buy_hold,25,3,0-4,2019-07-05,2024-02-02,0.7506367876363199,0.6345283075060484,True
btc_buy_hold,25,4,0-5,2019-07-05,2025-01-03,0.8598893646947083,0.8321088882249539,True
btc_buy_hold,25,5,1-2,2020-06-05,2022-04-01,1.5339583746216205,3.909636822469751,True
btc_buy_hold,25,6,1-3,2020-06-05,2023-03-03,1.1657891947143153,1.9559133801176833,True
btc_buy_hold,25,7,1-4,2020-06-05,2024-02-02,2.2968944884868643,10.827088469658538,True
btc_buy_hold,25,8,1-5,2020-06-05,2025-01-03,2.4253198978486448,12.256738233029397,True
btc_buy_hold,25,9,2-3,2021-05-07,2023-03-03,-0.49245186889928666,-0.6125379522091183,False
btc_buy_hold,25,10,2-4,2021-05-07,2024-02-02,0.6848998234400724,0.5502984453743971,True
btc_buy_hold,25,11,2-5,2021-05-07,2025-01-03,0.7972988114790922,0.7376973822530437,True
btc_buy_hold,25,12,3-4,2022-04-08,2024-02-02,0.22698789637968597,-0.0666218126593312,False
btc_buy_hold,25,13,3-5,2022-04-08,2025-01-03,0.33400980227079075,0.04620425675668982,True
btc_buy_hold,25,14,4-5,2023-03-10,2025-01-03,1.6963820043526132,3.1860327793171326,True
eth_buy_hold,25,0,0-1,2019-07-05,2021-04-30,1.7667154724310123,8.805892547660331,True
eth_buy_hold,25,1,0-2,2019-07-05,2022-04-01,0.47283559344557835,-0.0272822818962557,False
eth_buy_hold,25,2,0-3,2019-07-05,2023-03-03,-0.19276762857963023,-0.6454769815894462,False
eth_buy_hold,25,3,0-4,2019-07-05,2024-02-02,0.4891060095026951,0.14830996988367473,True
eth_buy_hold,25,4,0-5,2019-07-05,2025-01-03,0.4900627210947659,0.12822025359357347,True
eth_buy_hold,25,5,1-2,2020-06-05,2022-04-01,2.016543618396709,14.657814836633888,True
eth_buy_hold,25,6,1-3,2020-06-05,2023-03-03,1.4482562209091812,4.706748910072755,True
eth_buy_hold,25,7,1-4,2020-06-05,2024-02-02,2.3361971893196833,17.484319293114368,True
eth_buy_hold,25,8,1-5,2020-06-05,2025-01-03,2.2635248851429246,17.160935589973683,True
eth_buy_hold,25,9,2-3,2021-05-07,2023-03-03,0.11505745663171871,-0.43390611812063196,False
eth_buy_hold,25,10,2-4,2021-05-07,2024-02-02,0.8283447368231707,0.8335939126509446,True
eth_buy_hold,25,11,2-5,2021-05-07,2025-01-03,0.8136367284679985,0.8015151338695057,True
eth_buy_hold,25,12,3-4,2022-04-08,2024-02-02,0.03735263086130392,-0.3317164513879056,False
eth_buy_hold,25,13,3-5,2022-04-08,2025-01-03,0.0628410395797722,-0.34340809148950646,False
eth_buy_hold,25,14,4-5,2023-03-10,2025-01-03,1.0006130577322723,1.1267195514352109,True
btc_eth_50_50_buy_hold,25,0,0-1,2019-07-05,2021-04-30,1.7811687255398831,6.650639602400398,True
btc_eth_50_50_buy_hold,25,1,0-2,2019-07-05,2022-04-01,0.2935423250463076,-0.13786745269092282,False
btc_eth_50_50_buy_hold,25,2,0-3,2019-07-05,2023-03-03,-0.29763649097114314,-0.6031624705769161,False
btc_eth_50_50_buy_hold,25,3,0-4,2019-07-05,2024-02-02,0.6388290669831678,0.4160841142303726,True
btc_eth_50_50_buy_hold,25,4,0-5,2019-07-05,2025-01-03,0.6892410199130059,0.49695646122229453,True
btc_eth_50_50_buy_hold,25,5,1-2,2020-06-05,2022-04-01,1.9212126921761044,8.530573179411059,True
btc_eth_50_50_buy_hold,25,6,1-3,2020-06-05,2023-03-03,1.387975613247021,3.3868998175607654,True
btc_eth_50_50_buy_hold,25,7,1-4,2020-06-05,2024-02-02,2.4543699385772566,14.654313621494287,True
btc_eth_50_50_buy_hold,25,8,1-5,2020-06-05,2025-01-03,2.479720920410214,15.548329076081828,True
btc_eth_50_50_buy_hold,25,9,2-3,2021-05-07,2023-03-03,-0.14964988880779925,-0.5056505977203853,False
btc_eth_50_50_buy_hold,25,10,2-4,2021-05-07,2024-02-02,0.8082381541611751,0.7640477110749826,True
btc_eth_50_50_buy_hold,25,11,2-5,2021-05-07,2025-01-03,0.8558769210594454,0.8647922058170188,True
btc_eth_50_50_buy_hold,25,12,3-4,2022-04-08,2024-02-02,0.1315908587174714,-0.18801309887622653,False
btc_eth_50_50_buy_hold,25,13,3-5,2022-04-08,2025-01-03,0.19224029004151527,-0.14164065125063685,False
btc_eth_50_50_buy_hold,25,14,4-5,2023-03-10,2025-01-03,1.4149589735291748,2.062989127646747,True
equal_weight_top20,25,0,0-1,2019-07-05,2021-04-30,1.5148860697250768,4.848109051792466,True
equal_weight_top20,25,1,0-2,2019-07-05,2022-04-01,-0.08546170613415267,-0.5749276206931514,False
equal_weight_top20,25,2,0-3,2019-07-05,2023-03-03,-0.6270253675557446,-0.8218390040039819,False
equal_weight_top20,25,3,0-4,2019-07-05,2024-02-02,0.2763102681749679,-0.14376939030788893,False
equal_weight_top20,25,4,0-5,2019-07-05,2025-01-03,0.29695971976840724,-0.1822758107611745,False
equal_weight_top20,25,5,1-2,2020-06-05,2022-04-01,1.5621638810561587,5.3818092074908765,True
equal_weight_top20,25,6,1-3,2020-06-05,2023-03-03,1.041735078315158,1.6748138435086872,True
equal_weight_top20,25,7,1-4,2020-06-05,2024-02-02,2.1298841876842776,11.854988125973028,True
equal_weight_top20,25,8,1-5,2020-06-05,2025-01-03,1.9746673561997135,11.276873337623316,True
equal_weight_top20,25,9,2-3,2021-05-07,2023-03-03,-0.5954083029932784,-0.8055799789994267,False
equal_weight_top20,25,10,2-4,2021-05-07,2024-02-02,0.32313460803253813,-0.06562953250780879,False
equal_weight_top20,25,11,2-5,2021-05-07,2025-01-03,0.3382091679847065,-0.10765006024078039,False
equal_weight_top20,25,12,3-4,2022-04-08,2024-02-02,-0.31188435587521934,-0.6083764054744553,False
equal_weight_top20,25,13,3-5,2022-04-08,2025-01-03,-0.22391391653922943,-0.6259885097598297,False
equal_weight_top20,25,14,4-5,2023-03-10,2025-01-03,0.795080140733996,0.7974758421722872,True
