strategy,family,group,split,start,end,cost_bps,basis,dataset,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,Allocation Changes,drawdown_start,drawdown_trough,drawdown_recovery,drawdown_depth
btc_only_macro_gate,BTC-only macro gate,asset_level_macro_decomposition,full_sample,2019-01-04,2026-06-22,0,gross_0bps,top10,0.2577861907701178,0.7878556670269282,0.7036315461758679,0.3509352920246176,0.3942869795471498,-0.7345690120902244,0.28676200953428677,0.03006967363403007,0.4132746607994133,0.0,0.5867253392005867,10.975430876420974,-0.3830741335555067,0.3979307718348011,0.557022368903557,158,2021-02-21,2022-11-21,,-0.7345690120902244
btc_only_macro_gate,BTC-only macro gate,asset_level_macro_decomposition,development,2019-07-05,2024-12-31,0,gross_0bps,top10,0.2164998422568163,0.6763159700615448,0.6273941102754008,0.29473043198591187,0.4406645179559905,-0.7345690120902242,0.3153961136023916,0.030642750373692077,0.47085201793721976,0.0,0.5291479820627802,11.184603886397607,-0.3830741335555067,0.3979307718348011,0.617339312406577,118,2021-02-21,2022-11-21,,-0.7345690120902242
btc_only_macro_gate,BTC-only macro gate,asset_level_macro_decomposition,holdout,2025-01-01,2026-06-22,0,gross_0bps,top10,0.1989930024973594,1.0297916695273555,1.2539664971867943,2.0702444151586166,0.19434634551547006,-0.09612053583639935,0.22676579925650558,0.027881040892193308,0.2894981412639405,0.0,0.7105018587360594,10.176579925650557,-0.023740929435179026,0.13726219126451178,0.4423791821561338,30,2025-01-24,2025-04-08,2025-04-22,-0.09612053583639935
btc_only_macro_gate,BTC-only macro gate,asset_level_macro_decomposition,full_sample,2019-01-04,2026-06-22,10,net_after_costs,top10,0.24408750026506265,0.7601194054672049,0.6914493175472051,0.3296858458179515,0.3942351665269523,-0.7403639050972324,0.2856618995232857,0.03006967363403007,0.4132746607994133,0.08200000000000002,0.5867253392005867,10.975430876420974,-0.3836889597925487,0.3979307718348011,0.557022368903557,158,2021-02-21,2022-11-21,,-0.7403639050972324
btc_only_macro_gate,BTC-only macro gate,asset_level_macro_decomposition,development,2019-07-05,2024-12-31,10,net_after_costs,top10,0.2029983162490141,0.6510040623442362,0.6134874437410348,0.2741872136815666,0.44061759924169963,-0.7403639050972328,0.3143996013951171,0.030642750373692077,0.47085201793721976,0.0615,0.5291479820627802,11.184603886397607,-0.3836889597925487,0.3979307718348011,0.617339312406577,118,2021-02-21,2022-11-21,,-0.7403639050972328
btc_only_macro_gate,BTC-only macro gate,asset_level_macro_decomposition,holdout,2025-01-01,2026-06-22,10,net_after_costs,top10,0.18684252755597486,0.9771137146442646,1.183650714749552,1.890240796015696,0.1944089667786761,-0.09884588669856609,0.22490706319702602,0.027881040892193308,0.2894981412639405,0.015,0.7105018587360594,10.176579925650557,-0.024226814981969214,0.13670687175660268,0.4423791821561338,30,2025-01-23,2025-04-08,2025-04-22,-0.09884588669856609
btc_only_macro_gate,BTC-only macro gate,asset_level_macro_decomposition,full_sample,2019-01-04,2026-06-22,25,net_after_costs,top10,0.22380491470162833,0.7184519839234789,0.6545297585396389,0.2988745296476665,0.39418452508617957,-0.7488256525755631,0.2852951961862853,0.03006967363403007,0.4132746607994133,0.20500000000000002,0.5867253392005867,10.975430876420974,-0.3846106244238101,0.3979307718348011,0.557022368903557,158,2021-02-21,2022-11-21,,-0.7488256525755631
btc_only_macro_gate,BTC-only macro gate,asset_level_macro_decomposition,development,2019-07-05,2024-12-31,25,net_after_costs,top10,0.18301289819251987,0.6129917694474454,0.5782476467424017,0.2443998780798344,0.44057188803783576,-0.7488256525755623,0.3143996013951171,0.030642750373692077,0.47085201793721976,0.15375,0.5291479820627802,11.184603886397607,-0.3846106244238101,0.3979307718348011,0.617339312406577,118,2021-02-21,2022-11-21,,-0.7488256525755623
btc_only_macro_gate,BTC-only macro gate,asset_level_macro_decomposition,holdout,2025-01-01,2026-06-22,25,net_after_costs,top10,0.1688355503656893,0.8979350238471872,1.089950364220765,1.5829613940851412,0.19455171383371697,-0.10665803411034314,0.22490706319702602,0.027881040892193308,0.2894981412639405,0.037500000000000006,0.7105018587360594,10.176579925650557,-0.024955643302154606,0.1358738924947389,0.4423791821561338,30,2025-05-22,2026-02-24,2026-03-04,-0.10665803411034314
btc_only_macro_gate,BTC-only macro gate,asset_level_macro_decomposition,full_sample,2019-01-04,2026-06-22,50,net_after_costs,top10,0.19069694157323913,0.6488635552967362,0.5928582034584764,0.2501485667256063,0.394172356886468,-0.7623347359907882,0.2841950861752842,0.03006967363403007,0.4132746607994133,0.41000000000000003,0.5867253392005867,10.975430876420974,-0.3861451995444407,0.3979307718348011,0.557022368903557,158,2021-02-21,2022-11-21,,-0.7623347359907882
btc_only_macro_gate,BTC-only macro gate,asset_level_macro_decomposition,development,2019-07-05,2024-12-31,50,net_after_costs,top10,0.1504036869750407,0.5495383311024424,0.5196736645176909,0.1972934983469757,0.4405615000784876,-0.762334735990788,0.31340308918784254,0.030642750373692077,0.47085201793721976,0.3075,0.5291479820627802,11.184603886397607,-0.3861451995444407,0.3979307718348011,0.617339312406577,118,2021-02-21,2022-11-21,,-0.762334735990788
btc_only_macro_gate,BTC-only macro gate,asset_level_macro_decomposition,holdout,2025-01-01,2026-06-22,50,net_after_costs,top10,0.1393984034277469,0.7657180890177434,0.9305208606266296,1.1114108972497718,0.1949194489817059,-0.12542472255103265,0.22304832713754646,0.027881040892193308,0.2894981412639405,0.07500000000000001,0.7105018587360594,10.176579925650557,-0.028425608991957785,0.1344855937249665,0.4423791821561338,30,2025-05-22,2026-02-24,2026-04-16,-0.12542472255103265
btc_only_macro_gate,BTC-only macro gate,asset_level_macro_decomposition,full_sample,2019-01-04,2026-06-22,100,net_after_costs,top10,0.12701621079031544,0.5093238372193559,0.469746640425445,0.16133932897371797,0.3944188506936591,-0.787261305710564,0.27832783278327833,0.03006967363403007,0.4132746607994133,0.8200000000000001,0.5867253392005867,10.975430876420974,-0.3892086025426823,0.3979307718348011,0.557022368903557,158,2021-02-21,2022-11-21,,-0.787261305710564
btc_only_macro_gate,BTC-only macro gate,asset_level_macro_decomposition,development,2019-07-05,2024-12-31,100,net_after_costs,top10,0.08773156315039166,0.4223859406025143,0.4030350653086661,0.11143893712800625,0.4407874272603673,-0.7872613057105641,0.30692575984055803,0.030642750373692077,0.47085201793721976,0.615,0.5291479820627802,11.184603886397607,-0.3892086025426823,0.3979307718348011,0.617339312406577,118,2021-02-21,2022-11-21,,-0.7872613057105641
btc_only_macro_gate,BTC-only macro gate,asset_level_macro_decomposition,holdout,2025-01-01,2026-06-22,100,net_after_costs,top10,0.08262019961044187,0.5015370128969492,0.607249884261638,0.5104665540775523,0.19613796355768218,-0.1618523269555675,0.2174721189591078,0.027881040892193308,0.2894981412639405,0.15000000000000002,0.7105018587360594,10.176579925650557,-0.03579511147839942,0.13170899618542098,0.4423791821561338,30,2025-05-22,2026-02-24,,-0.1618523269555675
eth_only_macro_gate,ETH-only macro gate,asset_level_macro_decomposition,full_sample,2019-01-04,2026-06-22,0,gross_0bps,top10,0.24988198000406725,0.6983538840864295,0.655884024061974,0.32930549229341655,0.5209611297389004,-0.7588150998144251,0.2874954162082875,0.03006967363403007,0.4132746607994133,0.0,0.5867253392005867,10.975430876420974,-0.4778508564128131,0.5527426160337554,0.557022368903557,158,2021-12-08,2022-07-12,,-0.7588150998144251
eth_only_macro_gate,ETH-only macro gate,asset_level_macro_decomposition,development,2019-07-05,2024-12-31,0,gross_0bps,top10,0.20570274674806166,0.6265795983358696,0.599898689846249,0.27108415053728907,0.5708081511581683,-0.7588150998144252,0.3208769307424016,0.030642750373692077,0.47085201793721976,0.0,0.5291479820627802,11.184603886397607,-0.4778508564128131,0.5527426160337554,0.617339312406577,118,2021-12-08,2022-07-12,,-0.7588150998144252
eth_only_macro_gate,ETH-only macro gate,asset_level_macro_decomposition,holdout,2025-01-01,2026-06-22,0,gross_0bps,top10,0.35613144792713514,1.015372309560871,1.368648586072088,1.3929184932094705,0.3614765332419663,-0.25567285498992887,0.2211895910780669,0.027881040892193308,0.2894981412639405,0.0,0.7105018587360594,10.176579925650557,-0.09098118890734863,0.4134478345620187,0.4423791821561338,30,2025-01-25,2025-04-08,2025-05-08,-0.25567285498992887
eth_only_macro_gate,ETH-only macro gate,asset_level_macro_decomposition,full_sample,2019-01-04,2026-06-22,10,net_after_costs,top10,0.2362850637384757,0.6773758965951471,0.6454802678700889,0.3104795682080992,0.5208921653521416,-0.7610325700405041,0.2871287128712871,0.03006967363403007,0.4132746607994133,0.08200000000000002,0.5867253392005867,10.975430876420974,-0.47835960577504966,0.5527426160337554,0.557022368903557,158,2021-12-08,2022-07-12,,-0.7610325700405041
