strategy,cost_bps,median_fold_sharpe,best_fold_sharpe,worst_fold_sharpe,positive_fold_percentage
btc_buy_hold,25,0.7972988114790922,2.4253198978486448,-0.49245186889928666,0.7333333333333333
btc_eth_50_50_buy_hold,25,0.8082381541611751,2.479720920410214,-0.29763649097114314,0.6666666666666666
btc_eth_50_50_macro_gate,25,0.4194142059256709,2.194226532422501,-0.5941757859782042,0.6
btc_eth_macro_gate_balanced,25,0.4194142059256709,2.194226532422501,-0.5941757859782042,0.6
btc_only_macro_gate,25,0.4807758435395379,2.085086237937735,-0.7539277147758787,0.6666666666666666
equal_weight_top10,25,0.6100575228642825,2.276229415359912,-0.7571921057017197,0.6
equal_weight_top20,25,0.32313460803253813,2.1298841876842776,-0.6270253675557446,0.4
eth_buy_hold,25,0.8136367284679985,2.3361971893196833,-0.19276762857963023,0.6666666666666666
eth_only_macro_gate,25,0.34041043957891876,2.0034957575765597,-0.48275992502994686,0.6
pure_top10_momentum,25,0.7434376597726176,2.334755083029841,-0.9279681171352949,0.6
top10_macro_gated_momentum,25,0.4058117783067732,2.180183273239347,-1.205186137418109,0.4666666666666667
top20_macro_gated_momentum,25,0.23933729000633078,2.2106198679158053,-0.9282086543791044,0.5333333333333333
