regime,observations,strategy_return,Sharpe,exposure,hit_rate,average_weekly_return,drawdown_contribution
high_vix,1217,2.488270782132403,0.9351730446769891,0.6787181594083813,0.44042728019720623,0.004898316099403904,0.7820414845256093
low_vix,1510,0.04652420564464754,0.1522297203041117,0.18195364238410597,0.15695364238410597,0.0002773553636066713,0.21795851547439085
rising_vix,1235,-0.26010831309356675,0.030363278969220257,0.32044534412955467,0.25425101214574897,-2.1689166070240915e-05,0.42024046973694695
falling_vix,1472,3.9339111034047693,1.1198280495983757,0.4789402173913043,0.311820652173913,0.005020689776475564,0.579759530263053
positive_equity_momentum,1790,4.953149194256318,1.1073149607844506,0.4216480446927374,0.2860335195530726,0.005698173781735792,0.6214605811678711
negative_equity_momentum,917,-0.38678509638786285,-0.12030789184129305,0.37731733914940024,0.2846237731733915,-0.0003769020127853644,0.37853941883212894
high_equity_realized_volatility,1270,0.7680757837212848,0.5899036566277448,0.6505905511811023,0.41023622047244096,0.002902477473065655,0.7407823462541618
low_equity_realized_volatility,1449,1.0647077704221362,0.825245799918726,0.18944099378881987,0.17391304347826086,0.0023115004792125457,0.259217653745838
btc_bull_regime,1413,15.683442796041277,2.206709752448588,0.38446567586694974,0.2873319179051663,0.009118769553167145,0.38130491645199777
btc_bear_regime,1215,-0.7811866618914681,-0.59904401131953,0.4588477366255144,0.30205761316872426,-0.003110289854821879,0.6186950835480022
sideways_crypto_regime,567,0.4665900621950574,0.8522133471478529,0.3862433862433862,0.2698412698412698,0.0013283346067693928,0.18015217438014042
