split,cash_timing_effect_sum,btc_exposure_effect_sum,eth_exposure_effect_sum,btc_vs_eth_allocation_effect_sum,transaction_cost_drag_sum,gross_strategy_return_sum,net_strategy_return_sum
development,-2.0721615809851865,0.8193741109900674,0.9833110703474077,0.0,-0.15375,1.802685181337475,1.6489351813374749
holdout,0.6537560260211879,0.14749767289976015,0.27049848654322517,0.0,-0.037500000000000006,0.41799615944298535,0.3804961594429853
