strategy,split,return_per_unit_exposure,sharpe_per_unit_exposure,drawdown_per_unit_exposure,conditional_sharpe_when_invested,positive_invested_week_percentage,average_return_when_invested,average_return_when_in_cash,missed_upside_while_in_cash,avoided_downside_while_in_cash,exposure,cash_exposure
btc_only_macro_gate,development,0.3886845361612565,1.3018777579693364,-1.590363052612861,0.7986477814291003,0.45454545454545453,0.0012227339881168997,-3.9022381896749806e-05,9.364032807489165,8.17326975843665,0.47085201793721976,0.5291479820627802
btc_only_macro_gate,holdout,0.5832008096098931,3.1016952990676514,-0.3684238995272206,1.305596041878105,0.46511627906976744,0.0010389742741337457,3.406489518562944e-05,2.840894680513186,3.403422839325423,0.2894981412639405,0.7105018587360594
eth_only_macro_gate,development,0.36645579184032506,1.2269890716283263,-1.6232763477899095,0.7669407342962983,0.47368421052631576,0.001522164292998595,-9.516851345109855e-05,9.364032807489165,8.17326975843665,0.47085201793721976,0.5291479820627802
eth_only_macro_gate,holdout,1.1124592560572266,3.2637543847833004,-0.8977346790642228,1.2173986486829442,0.46511627906976744,0.001783191908747725,0.0002636576626816392,2.840894680513186,3.403422839325423,0.2894981412639405,0.7105018587360594
btc_eth_50_50_macro_gate,development,0.4075100120990315,1.3126414708775789,-1.573496598720432,0.8136993277928956,0.45933014354066987,0.0013724491405577473,-6.709544767392417e-05,9.364032807489165,8.17326975843665,0.47085201793721976,0.5291479820627802
btc_eth_50_50_macro_gate,holdout,0.8659144019367994,3.3508583489331745,-0.6362272378375247,1.3045267358792925,0.46511627906976744,0.0014110830914407355,0.0001488612789336343,2.840894680513186,3.403422839325423,0.2894981412639405,0.7105018587360594
btc_eth_macro_gate_balanced,development,0.4075100120990315,1.3126414708775789,-1.573496598720432,0.8136993277928956,0.45933014354066987,0.0013724491405577473,-6.709544767392417e-05,9.364032807489165,8.17326975843665,0.47085201793721976,0.5291479820627802
btc_eth_macro_gate_balanced,holdout,0.8659144019367994,3.3508583489331745,-0.6362272378375247,1.3045267358792925,0.46511627906976744,0.0014110830914407355,0.0001488612789336343,2.840894680513186,3.403422839325423,0.2894981412639405,0.7105018587360594
top10_macro_gated_momentum,development,-0.06854317072912434,0.5672677050579427,-1.9672358034496367,0.36348109918837546,0.48325358851674644,0.0007572113436502213,-7.706786644317524e-05,9.364032807489165,8.17326975843665,0.47029692312986915,0.5297030768701309
top10_macro_gated_momentum,holdout,0.08916056934006217,0.7768992451441503,-0.6893760217359601,0.17444183029705984,0.4186046511627907,0.00017480021873817882,0.00013549289629966868,2.840894680513186,3.403422839325423,0.2905824039653036,0.7094175960346965
top20_macro_gated_momentum,development,0.19948998711874652,0.9811865178210154,-1.7873767792045663,0.5840668859353662,0.4688995215311005,0.0011933384417884562,5.0281454302493614e-06,9.364032807489165,8.17326975843665,0.46735211724769193,0.532647882752308
top20_macro_gated_momentum,holdout,-0.1389932408284706,0.07109253407428351,-0.9149435384543277,-0.17785500377885724,0.4418604651162791,-0.0002208720443175662,0.00020666661994201167,2.840894680513186,3.403422839325423,0.29156809733017913,0.7084319026698209
equal_weight_top10,development,0.2995585943863133,0.7452847078452435,-0.9085167244487014,0.7452847078452434,0.5277777777777778,0.0016963757405648607,,0.0,-0.0,0.9999999999999998,2.220446049250313e-16
equal_weight_top10,holdout,-0.3925406240317314,-0.4184354143143424,-0.6350749613895309,-0.4184354143143422,0.5128205128205128,-0.0007614111531581409,,0.0,-0.0,0.9999999999999998,2.220446049250313e-16
pure_top10_momentum,development,0.19193604819677845,0.656153838112407,-0.9508146549666551,0.655581705966569,0.5347222222222222,0.0015787698950638508,,0.0,-0.0,0.9991280518186347,0.0008719481813652674
pure_top10_momentum,holdout,-0.354169482567836,-0.4068922959695901,-0.630929732434004,-0.40689229596959003,0.44871794871794873,-0.0006845731182432691,,0.0,-0.0,1.0,0.0
btc_buy_hold,development,0.4724903439480006,0.9263730704033335,-0.7662925431645935,0.9263730704033334,0.5208333333333334,0.0016554009580856432,,0.0,-0.0,1.0,0.0
btc_buy_hold,holdout,-0.21821159706853388,-0.33192186171076005,-0.5115888570490235,-0.33192186171076,0.5128205128205128,-0.0004038063055156229,,0.0,-0.0,1.0,0.0
eth_buy_hold,development,0.5666545877606064,0.9644059009448438,-0.7930253453633335,0.9644059009448436,0.5347222222222222,0.0022059311418871144,,0.0,-0.0,1.0,0.0
eth_buy_hold,holdout,-0.3510212516138813,-0.23851086051698195,-0.6751516430846409,-0.2385108605169819,0.47435897435897434,-0.0004726244252583638,,0.0,-0.0,1.0,0.0
btc_eth_50_50_buy_hold,development,0.5612786104457315,0.9924769251532791,-0.7625369100009567,0.992476925153279,0.5416666666666666,0.001930666049986379,,0.0,-0.0,1.0,0.0
btc_eth_50_50_buy_hold,holdout,-0.27206512833669316,-0.284780677797741,-0.5921120534849638,-0.28478067779774097,0.48717948717948717,-0.00043821536538699333,,0.0,-0.0,1.0,0.0
equal_weight_top20,development,0.13881707913075014,0.5941022677158556,-0.8839313752645691,0.5941022677158555,0.5347222222222222,0.001384206114969016,,0.0,-0.0,1.0,0.0
equal_weight_top20,holdout,-0.5048987332026829,-0.5709923612296242,-0.7272315496294107,-0.570992361229624,0.46153846153846156,-0.0011624938624083812,,0.0,-0.0,1.0,0.0
