name,category,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Active Days,Annual Turnover,Average Holdings,Best Month,Worst Month
A_market_gate_k5_dd20_vp65,candidate,development,10,0.4129657816304826,1.1085245198945985,0.604809097159493,1.288774413726366,0.37453316277329235,-0.32043294562035274,0.08374384236453201,0.013821210757242016,0.10871761759853138,0.02525135205348116,0.8912823824014686,0.13409961685823754,5.0447419263933355,0.7969348659003831,0.7100843147852836,-0.2134932285847454
A_market_gate_k5_dd20_vp65,candidate,holdout,10,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A_market_gate_k5_dd20_vp65,candidate,development,25,0.40235505799765714,1.0885871379558079,0.5953147849032405,1.242859290983732,0.3744413904464363,-0.3237333951771727,0.08319649698960044,0.013821210757242016,0.10871761759853138,0.06312838013370291,0.8912823824014686,0.13409961685823754,5.0447419263933355,0.7969348659003831,0.7044330555495424,-0.21463418869909534
A_market_gate_k5_dd20_vp65,candidate,holdout,25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A_market_gate_k5_dd20_vp65,candidate,development,50,0.38482361956228517,1.055210346530197,0.5796720700529353,1.1617135308927016,0.374333163090334,-0.33125517550490535,0.08210180623973727,0.013821210757242016,0.10871761759853138,0.12625676026740582,0.8912823824014686,0.13409961685823754,5.0447419263933355,0.7969348659003831,0.6950441467224808,-0.21653437430652733
A_market_gate_k5_dd20_vp65,candidate,holdout,50,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A_market_gate_k5_dd20_vp65,candidate,development,100,0.3503285696092593,0.9879555315810713,0.5457675514698749,1.012184912563149,0.37428457586401565,-0.3461112344799969,0.0815544608648057,0.013821210757242016,0.10871761759853138,0.25251352053481163,0.8912823824014686,0.13409961685823754,5.0447419263933355,0.7969348659003831,0.6763779527031508,-0.2203294408345765
A_market_gate_k5_dd20_vp65,candidate,holdout,100,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B_defensive_rotation_dd25_vp70_vt35,candidate,development,10,0.20971876305331905,1.2055360860439444,0.9761478141770973,1.1859726806337412,0.16978022025670614,-0.17683270995859102,0.12315270935960591,0.017657364820214308,0.13469574541452903,0.03226000552653154,0.865304254585471,0.2287903667214012,6.444938159378223,0.2441160372194855,0.2976664783098326,-0.07877101719139457
B_defensive_rotation_dd25_vp70_vt35,candidate,holdout,10,-0.05377080481985763,-0.35724313479463954,-0.22232317713890845,-0.3843801960615617,0.1309348510999366,-0.13988963367729224,0.08178438661710037,0.014595488044295748,0.08413433463117787,0.007852372567831112,0.9158656653688222,0.14684014869888476,5.3273531361679485,0.14684014869888476,0.05122544703297005,-0.09937567357988353
B_defensive_rotation_dd25_vp70_vt35,candidate,development,25,0.1980434643882436,1.14724123908361,0.933039622029167,1.0210110326522384,0.16998061814152493,-0.1939679964806984,0.12315270935960591,0.017657364820214308,0.13469574541452903,0.08065001381632886,0.865304254585471,0.2287903667214012,6.444938159378223,0.2441160372194855,0.29683129533955777,-0.08215386866860708
B_defensive_rotation_dd25_vp70_vt35,candidate,holdout,25,-0.06133532917993734,-0.41747035412397887,-0.26194812022988123,-0.43075757754453736,0.13118681560031992,-0.14238943753368027,0.07992565055762081,0.014595488044295748,0.08413433463117787,0.01963093141957778,0.9158656653688222,0.14684014869888476,5.3273531361679485,0.14684014869888476,0.048860387212865675,-0.10146711031468791
B_defensive_rotation_dd25_vp70_vt35,candidate,development,50,0.17881046817936097,1.0496809260149211,0.859125098405012,0.8062742763536441,0.17042934204550125,-0.2217737479955667,0.12205801860974275,0.017657364820214308,0.13469574541452903,0.16130002763265772,0.865304254585471,0.2287903667214012,6.444938159378223,0.2441160372194855,0.29544008164548186,-0.08777158550180031
B_defensive_rotation_dd25_vp70_vt35,candidate,holdout,50,-0.07382579842061243,-0.5168086368851468,-0.3283042303649197,-0.46598345312922573,0.13174119847500426,-0.15843008571409334,0.07992565055762081,0.014595488044295748,0.08413433463117787,0.03926186283915556,0.9158656653688222,0.14684014869888476,5.3273531361679485,0.14684014869888476,0.04492568625778026,-0.10494717512924445
B_defensive_rotation_dd25_vp70_vt35,candidate,development,100,0.1411782044666472,0.853971399789197,0.7024052826466861,0.4482618924900814,0.17175251866485258,-0.31494580920632465,0.12096332785987958,0.017657364820214308,0.13469574541452903,0.32260005526531543,0.865304254585471,0.2287903667214012,6.444938159378223,0.2441160372194855,0.29266049509537617,-0.09893090704567753
B_defensive_rotation_dd25_vp70_vt35,candidate,holdout,100,-0.0983729407204681,-0.7103468728013709,-0.4571921532063715,-0.5157387560378277,0.1333457758640807,-0.19074180400212692,0.07806691449814127,0.014595488044295748,0.08413433463117787,0.07852372567831112,0.9158656653688222,0.14684014869888476,5.3273531361679485,0.14684014869888476,0.037082748036843416,-0.11188607505305992
C_cash_floor_k5_vt35_brake10,candidate,development,10,0.09982498485149449,0.8318609231886972,0.8850344177336843,0.47122999226662104,0.12355767205440733,-0.21183920058087835,0.28516694033935414,0.011106720420918821,0.08868645395403926,0.020291978209018686,0.9113135460459607,0.5440613026819924,4.05395295363537,2.7203065134099615,0.16820031065913676,-0.0701676986462163
C_cash_floor_k5_vt35_brake10,candidate,holdout,10,-0.09259672112604034,-1.9571555507926313,-1.5066014243221635,-0.6182731656248583,0.04902594451770405,-0.1497666828746439,0.17657992565055763,0.0047749500464565955,0.03084928027358606,0.002568923124993648,0.969150719726414,0.40148698884758366,1.7428567669566575,2.007434944237918,0.007809838044676942,-0.042333693594053146
C_cash_floor_k5_vt35_brake10,candidate,development,25,0.09648098082588041,0.8147136191310034,0.8678053880685936,0.45472319506025594,0.12221689810606477,-0.2121751911359956,0.2846195949644226,0.010676947142880464,0.08575776840799822,0.048766956075106505,0.9142422315920018,0.5440613026819924,3.8970857071513687,2.7203065134099615,0.1673119097735507,-0.07088070941320712
C_cash_floor_k5_vt35_brake10,candidate,holdout,25,-0.08151751669499141,-1.859026764254769,-1.5111532254065343,-0.6068303751377404,0.04518530548172295,-0.13433328329434446,0.17657992565055763,0.004696054046476281,0.029775731949398195,0.006316192692510598,0.9702242680506018,0.40148698884758366,1.7140597269638427,2.007434944237918,0.007536077042135103,-0.029696677698883178
C_cash_floor_k5_vt35_brake10,candidate,development,50,0.0798442283628904,0.7069594901845677,0.7342227490670987,0.3699361343250691,0.11860212869381365,-0.2158324666190352,0.2824302134646962,0.010256291937161325,0.0811304890400561,0.09369122684596871,0.9188695109599438,0.5440613026819924,3.7435465570638837,2.7203065134099615,0.12921338986099729,-0.07206830819755294
C_cash_floor_k5_vt35_brake10,candidate,holdout,50,-0.0833860271492245,-1.927635632300781,-1.5576357297580286,-0.6096267605364315,0.04464575825398485,-0.13678209774756322,0.17657992565055763,0.00468216011667867,0.028740575084643786,0.01259501071386562,0.9712594249153562,0.40148698884758366,1.7089884425877147,2.007434944237918,0.007079930895121267,-0.030292475077107417
