candidate,family,portfolio,mechanism,rebalance_days,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,Allocation Changes,worst_drawdown_start,worst_drawdown_trough,worst_drawdown_recovery
btc_eth_macro_gate_balanced,Frozen benchmark,frozen,none,7,development,0,0.22559509379747444,0.675520040133422,0.6177414558901854,0.30821068159023796,0.4853188314614098,-0.7319509260143039,0.32536123567513703,0.030642750373692077,0.47085201793721976,0.0,0.5291479820627802,11.184603886397607,-0.4315296683649067,0.44949275810729517,1.234678624813154,118,2021-11-08,2022-11-21,
btc_eth_macro_gate_balanced,Frozen benchmark,frozen,none,7,holdout,0,0.28293248521147074,1.0661186418952293,1.3568630970705124,1.585563450307555,0.26599737015038805,-0.17844286531490727,0.23048327137546468,0.027881040892193308,0.2894981412639405,0.0,0.7105018587360594,10.176579925650557,-0.05667645626887219,0.24768001831585984,0.8847583643122676,30,2025-01-25,2025-04-08,2025-05-08
btc_eth_macro_gate_balanced,Frozen benchmark,frozen,none,7,development,10,0.21200039682524863,0.6525514726848459,0.6056263279988383,0.2882167020167797,0.48526132554274615,-0.7355590267385205,0.3243647234678625,0.030642750373692077,0.47085201793721976,0.0615,0.5291479820627802,11.184603886397607,-0.4320897947253527,0.44949275810729517,1.234678624813154,118,2021-11-08,2022-11-21,
btc_eth_macro_gate_balanced,Frozen benchmark,frozen,none,7,holdout,10,0.2699382168428921,1.027743623907195,1.3040997384988156,1.4956833759602872,0.2660276052575855,-0.1804781822018856,0.23048327137546468,0.027881040892193308,0.2894981412639405,0.015,0.7105018587360594,10.176579925650557,-0.057686720710772965,0.246415793598165,0.8847583643122676,30,2025-01-23,2025-04-08,2025-05-08
btc_eth_macro_gate_balanced,Frozen benchmark,frozen,none,7,development,25,0.1918769115264498,0.6180598853907883,0.5747037963256828,0.2589837260725055,0.48519746043817996,-0.7408840487248671,0.32336821126058796,0.030642750373692077,0.47085201793721976,0.15375,0.5291479820627802,11.184603886397607,-0.4329294666098096,0.44949275810729517,1.234678624813154,118,2021-11-08,2022-11-21,
btc_eth_macro_gate_balanced,Frozen benchmark,frozen,none,7,holdout,25,0.2506806098543801,0.9700672636549106,1.2341802107524358,1.3610143521675673,0.26610866572870884,-0.1841866027754544,0.23048327137546468,0.027881040892193308,0.2894981412639405,0.037500000000000006,0.7105018587360594,10.176579925650557,-0.05983982286898448,0.2445206579453003,0.8847583643122676,30,2025-01-23,2025-04-08,2025-05-08
btc_eth_macro_gate_balanced,Frozen benchmark,frozen,none,7,development,50,0.15904202455012384,0.5604846991514749,0.5225295474356764,0.21218858004491367,0.48515075877359637,-0.7495314993693799,0.3223716990533134,0.030642750373692077,0.47085201793721976,0.3075,0.5291479820627802,11.184603886397607,-0.43432753933400514,0.44949275810729517,1.234678624813154,118,2021-11-08,2022-11-21,
btc_eth_macro_gate_balanced,Frozen benchmark,frozen,none,7,holdout,50,0.21919863958320418,0.8737059236516569,1.1147308422363915,1.151636015111534,0.2663388779734986,-0.19033673548493113,0.22862453531598512,0.027881040892193308,0.2894981412639405,0.07500000000000001,0.7105018587360594,10.176579925650557,-0.06342103525723375,0.24136530232033437,0.8847583643122676,30,2025-01-23,2025-04-08,2025-05-08
btc_eth_macro_gate_balanced,Frozen benchmark,frozen,none,7,development,100,0.09593473457893364,0.44509546592914223,0.4170873010901901,0.12401159521039473,0.4852814152834506,-0.7735948756741122,0.32037867463876435,0.030642750373692077,0.47085201793721976,0.615,0.5291479820627802,11.184603886397607,-0.4371185082202741,0.44949275810729517,1.234678624813154,118,2021-02-21,2022-11-21,
btc_eth_macro_gate_balanced,Frozen benchmark,frozen,none,7,holdout,100,0.15847516496273428,0.6805756374853622,0.8712961436852513,0.7825043815075569,0.26715466399550514,-0.20252303847477415,0.22676579925650558,0.027881040892193308,0.2894981412639405,0.15000000000000002,0.7105018587360594,10.176579925650557,-0.07055615970418216,0.23506660530718304,0.8847583643122676,30,2025-01-23,2025-04-08,2025-05-08
