model,model_type,feature_set,split,regime,days,frequency,average_btc_return,average_eth_return,average_btc_eth_50_50_return,annualized_volatility,max_drawdown,average_vix,average_equity_momentum,average_equity_volatility,average_duration_days
gmm_macro,gmm,macro,development,risk_on,1075,0.5883962780514504,0.001614307923331549,0.002590342447406272,0.0021023251853689103,0.6211561491127446,-0.5573957455216291,16.715060465116277,0.014777982994806578,0.11537094389198314,15.579710144927537
gmm_macro,gmm,macro,development,neutral,665,0.36398467432950193,0.002382695748932648,0.0031223932742923447,0.0027525445116124963,0.7438485610571248,-0.6530207760562481,25.74941353383458,0.0026462548186833245,0.20719191538197732,9.366197183098592
gmm_macro,gmm,macro,development,risk_off,87,0.047619047619047616,0.003791529736048912,0.002418011834179555,0.0031047707851142334,1.304362338603074,-0.5180075505076531,43.00264367816092,-0.028396791053339282,0.5045160985720921,5.4375
gmm_macro,gmm,macro,holdout,risk_on,364,0.6765799256505576,-0.0014228037926439598,-0.0018871557042038018,-0.0016549797484238806,0.5512919040091088,-0.6322030532589442,16.87480769230769,0.011182751146891488,0.10331795375674198,16.545454545454547
gmm_macro,gmm,macro,holdout,neutral,143,0.26579925650557623,0.001180824416204552,0.00289803498169412,0.002039429698949336,0.5535227877462557,-0.13917801551504172,21.6,-0.0060418181913957265,0.16234105405477775,5.5
gmm_macro,gmm,macro,holdout,risk_off,31,0.05762081784386617,0.0042514482786369465,0.0005881849406104826,0.0024198166096237148,0.7061581438201773,-0.13601488029374975,32.37580645161291,-0.036350315615021944,0.4107052027949094,5.166666666666667
gmm_macro,gmm,macro,full,risk_on,1766,0.6468864468864469,0.0011398304934043917,0.001305865864523808,0.0012228481789641,0.6280841580462629,-0.632203053258944,16.385856009070295,0.0142348473363009,0.11102549120237735,17.145631067961165
gmm_macro,gmm,macro,full,neutral,846,0.3098901098901099,0.002163143503334096,0.0029931878336054876,0.0025781656684697916,0.7081052287497875,-0.6530207760562479,24.77081560283688,0.0005549456203011539,0.20000919570564257,7.6909090909090905
gmm_macro,gmm,macro,full,risk_off,118,0.04322344322344322,0.003912355793847464,0.001937294599428358,0.0029248251966379106,1.1740817439765738,-0.5180075505076531,40.21084745762711,-0.03048627631954405,0.4798708632407985,5.363636363636363
kmeans_macro,kmeans,macro,development,risk_on,1379,0.7547892720306514,0.0016165848553645298,0.002754122049595224,0.002185353452479877,0.634383232329699,-0.7000006774309006,17.882596084118926,0.019509492697332608,0.12903446287274703,29.97826086956522
