candidate,tested_configurations,family_pbo,deflated_sharpe_probability,bootstrap_sharpe_lower,bootstrap_sharpe_median,bootstrap_sharpe_upper,best_fold_sharpe,median_fold_sharpe,worst_fold_sharpe,positive_fold_fraction
btc_eth_macro_gate_balanced,19,0.07142857142857142,0.27112309394289813,-0.6067603271738613,1.0235914500400136,2.280900799860262,1.6932464777707228,0.879757709912453,-1.1474745641209614,0.7333333333333333
gmm_macro_direct,19,0.07142857142857142,0.0027522671614713004,-2.11693604575248,-0.7378793551664695,0.9579489004246705,2.6058914057421925,1.2063650456936907,-0.7514150414708688,0.8666666666666667
gmm_macro_confirmation_filter,19,0.07142857142857142,0.09519759613945189,-1.018867730574624,0.46744781032490357,1.7254490140789565,1.9909046536052792,0.8649092599893952,-1.228845878007326,0.7333333333333333
gmm_macro_exposure_scaling,19,0.07142857142857142,0.07891190973268564,-0.8924439156163064,0.37746184238119806,1.4733181626729974,2.0824274034514993,0.7515065592786144,-1.3289138210121039,0.6666666666666666
kmeans_macro_direct,19,0.07142857142857142,0.008845633021610504,-1.9420045967034267,-0.401104925850694,1.3251519150924913,2.5472099951922713,1.4122929091533984,-0.41911942837269267,0.8666666666666667
kmeans_macro_confirmation_filter,19,0.07142857142857142,0.27112309394289813,-0.6067603271738613,1.0235914500400136,2.280900799860262,1.617050481558081,0.8120328405807679,-1.1474745641209614,0.7333333333333333
kmeans_macro_exposure_scaling,19,0.07142857142857142,0.25648234190934327,-0.6335789511464093,0.9484373053904738,2.1322448572453836,1.8579253175256993,0.9430683799321649,-1.0038383911897906,0.8
markov_fallback_macro_direct,19,0.07142857142857142,0.0072625770425437785,-1.989078450017425,-0.4658420994281538,1.216912367054116,2.5894780242387525,1.3875154860133085,-0.5526060799090265,0.8666666666666667
markov_fallback_macro_confirmation_filter,19,0.07142857142857142,0.27112309394289813,-0.6067603271738613,1.0235914500400136,2.280900799860262,1.617050481558081,0.8120328405807679,-1.1474745641209614,0.7333333333333333
markov_fallback_macro_exposure_scaling,19,0.07142857142857142,0.21153996454052792,-0.6669576588196361,0.8306437951642501,2.052327196520579,1.8598189503932527,0.8984119315667476,-1.1603424954844213,0.7333333333333333
gmm_macro_crypto_direct,19,0.07142857142857142,0.0015449714657331517,-2.367275477915672,-0.8881442809735743,0.6931648597392005,2.6517966405782367,1.7053170313597694,-0.26643942381369806,0.9333333333333333
gmm_macro_crypto_confirmation_filter,19,0.07142857142857142,0.02752163091418725,-1.1923696844438116,0.03491375134493002,1.0358994432013648,2.283530788435371,1.396453576388993,-0.05437021394881856,0.9333333333333333
gmm_macro_crypto_exposure_scaling,19,0.07142857142857142,0.029467892292206345,-1.150438589593707,0.06067441063381522,1.0990543146456058,2.2998080969257098,1.4419729810518507,0.005821440491932085,1.0
kmeans_macro_crypto_direct,19,0.07142857142857142,0.012148109275545901,-1.7642125764350363,-0.29660558578381435,1.320822066513378,2.724090907732578,1.5268148142635898,-0.5326325822911189,0.8666666666666667
kmeans_macro_crypto_confirmation_filter,19,0.07142857142857142,0.22939163248612782,-0.6487517647773761,0.9256344592510204,2.1835813614228496,2.357033552970879,0.879757709912453,-1.1474745641209614,0.8
kmeans_macro_crypto_exposure_scaling,19,0.07142857142857142,0.22707724169892735,-0.7090673067762707,0.9512109593570888,2.2155204804862394,1.9880892391973886,0.9236491303245418,-1.081827389715895,0.8
markov_fallback_macro_crypto_direct,19,0.07142857142857142,0.01310811854149149,-1.7540305445507336,-0.2639413186570125,1.3154602798151462,2.1820176315194733,1.5268148142635898,-0.5233189411657191,0.8666666666666667
markov_fallback_macro_crypto_confirmation_filter,19,0.07142857142857142,0.27112309394289813,-0.6067603271738613,1.0235914500400136,2.280900799860262,1.776330791337654,0.879757709912453,-1.1474745641209614,0.7333333333333333
markov_fallback_macro_crypto_exposure_scaling,19,0.07142857142857142,0.24061729445504237,-0.6827381242866029,0.985316318070153,2.2553681971509736,1.5953186664652004,0.9236491303245418,-1.081827389715895,0.8
