candidate,fold,test_groups,fold_sharpe,n_test_weeks
kmeans_macro_exposure_scaling,8,"1,5",1.4739831990850418,87
kmeans_macro_exposure_scaling,9,"2,3",-0.11558069098295869,88
kmeans_macro_exposure_scaling,10,"2,4",-1.0038383911897906,87
kmeans_macro_exposure_scaling,11,"2,5",-0.9744614111032578,87
kmeans_macro_exposure_scaling,12,"3,4",0.9430683799321649,87
kmeans_macro_exposure_scaling,13,"3,5",0.8380576298867423,87
kmeans_macro_exposure_scaling,14,"4,5",0.46669347835636626,86
markov_fallback_macro_direct,0,"0,1",2.4402878055695685,88
markov_fallback_macro_direct,1,"0,2",0.17679502569369188,88
markov_fallback_macro_direct,2,"0,3",1.3875154860133085,88
markov_fallback_macro_direct,3,"0,4",2.2760227125158345,87
markov_fallback_macro_direct,4,"0,5",1.3152191276736023,87
markov_fallback_macro_direct,5,"1,2",1.0536089978703242,88
markov_fallback_macro_direct,6,"1,3",1.9654610227018867,88
markov_fallback_macro_direct,7,"1,4",2.5894780242387525,87
markov_fallback_macro_direct,8,"1,5",1.9164354229090532,87
markov_fallback_macro_direct,9,"2,3",-0.24737372763095836,88
markov_fallback_macro_direct,10,"2,4",0.2244474792696902,87
markov_fallback_macro_direct,11,"2,5",-0.5526060799090265,87
markov_fallback_macro_direct,12,"3,4",1.5304861552325126,87
markov_fallback_macro_direct,13,"3,5",0.7206460101999126,87
markov_fallback_macro_direct,14,"4,5",1.4950089054272753,86
markov_fallback_macro_confirmation_filter,0,"0,1",1.5968854736686608,88
markov_fallback_macro_confirmation_filter,1,"0,2",-0.22789615706987015,88
markov_fallback_macro_confirmation_filter,2,"0,3",1.112865223586916,88
markov_fallback_macro_confirmation_filter,3,"0,4",0.880666953878766,87
markov_fallback_macro_confirmation_filter,4,"0,5",0.8120328405807679,87
markov_fallback_macro_confirmation_filter,5,"1,2",0.23844066413381756,88
markov_fallback_macro_confirmation_filter,6,"1,3",1.617050481558081,88
markov_fallback_macro_confirmation_filter,7,"1,4",1.550447668067502,87
markov_fallback_macro_confirmation_filter,8,"1,5",1.4542238499819322,87
markov_fallback_macro_confirmation_filter,9,"2,3",-0.32407006936599747,88
markov_fallback_macro_confirmation_filter,10,"2,4",-1.1474745641209614,87
markov_fallback_macro_confirmation_filter,11,"2,5",-1.1458483342471588,87
markov_fallback_macro_confirmation_filter,12,"3,4",0.879757709912453,87
markov_fallback_macro_confirmation_filter,13,"3,5",0.7992797279857359,87
markov_fallback_macro_confirmation_filter,14,"4,5",0.4498421707858982,86
markov_fallback_macro_exposure_scaling,0,"0,1",1.8598189503932527,88
markov_fallback_macro_exposure_scaling,1,"0,2",-0.28321514250205987,88
markov_fallback_macro_exposure_scaling,2,"0,3",1.275497724480077,88
markov_fallback_macro_exposure_scaling,3,"0,4",1.1697162525082452,87
markov_fallback_macro_exposure_scaling,4,"0,5",1.0371597366679488,87
markov_fallback_macro_exposure_scaling,5,"1,2",0.3474264094785166,88
markov_fallback_macro_exposure_scaling,6,"1,3",1.665364981052315,88
markov_fallback_macro_exposure_scaling,7,"1,4",1.6050733586896728,87
markov_fallback_macro_exposure_scaling,8,"1,5",1.504646622274406,87
markov_fallback_macro_exposure_scaling,9,"2,3",-0.2650740660015065,88
markov_fallback_macro_exposure_scaling,10,"2,4",-1.1603424954844213,87
markov_fallback_macro_exposure_scaling,11,"2,5",-1.1422135932450173,87
markov_fallback_macro_exposure_scaling,12,"3,4",0.8984119315667476,87
markov_fallback_macro_exposure_scaling,13,"3,5",0.8173336734800694,87
