candidate,family,model_name,overlay,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings
btc_eth_macro_gate_balanced,Current selected strategy,current,current,development,10,0.2201064654477778,0.660976233716512,0.6233490520762509,0.2992369849959331,0.5048517359448262,-0.7355590267385204,0.3399014778325123,0.030377668308702793,0.49808429118773945,0.05550000000000001,0.5019157088122606,11.087848932676518,-0.4320897947253527,0.44949275810729517,1.2873563218390804
btc_eth_macro_gate_balanced,Current selected strategy,current,current,holdout,10,0.2699382168428921,1.027743623907195,1.3040997384988156,1.4956833759602872,0.2660276052575855,-0.1804781822018856,0.23048327137546468,0.027881040892193308,0.2894981412639405,0.015,0.7105018587360594,10.176579925650557,-0.057686720710772965,0.246415793598165,0.8847583643122676
btc_eth_macro_gate_balanced,Current selected strategy,current,current,development,25,0.20002605127253803,0.6281168905695268,0.5934409935427069,0.2699829367588655,0.5047837916339928,-0.7408840487248671,0.33880678708264916,0.030377668308702793,0.49808429118773945,0.13875,0.5019157088122606,11.087848932676518,-0.4329294666098096,0.44949275810729517,1.2873563218390804
btc_eth_macro_gate_balanced,Current selected strategy,current,current,holdout,25,0.2506806098543801,0.9700672636549106,1.2341802107524358,1.3610143521675673,0.26610866572870884,-0.1841866027754544,0.23048327137546468,0.027881040892193308,0.2894981412639405,0.037500000000000006,0.7105018587360594,10.176579925650557,-0.05983982286898448,0.2445206579453003,0.8847583643122676
btc_eth_macro_gate_balanced,Current selected strategy,current,current,development,50,0.1672549417809055,0.5732668639700705,0.5427061960311421,0.22314598108501874,0.5047275910481621,-0.7495314993693805,0.33825944170771755,0.030377668308702793,0.49808429118773945,0.2775,0.5019157088122606,11.087848932676518,-0.43432753933400514,0.44949275810729517,1.2873563218390804
btc_eth_macro_gate_balanced,Current selected strategy,current,current,holdout,50,0.21919863958320418,0.8737059236516569,1.1147308422363915,1.151636015111534,0.2663388779734986,-0.19033673548493113,0.22862453531598512,0.027881040892193308,0.2894981412639405,0.07500000000000001,0.7105018587360594,10.176579925650557,-0.06342103525723375,0.24136530232033437,0.8847583643122676
btc_eth_macro_gate_balanced,Current selected strategy,current,current,development,100,0.10424682678550146,0.4633337130161947,0.4405361822065785,0.13475635641285824,0.5048291372827213,-0.7735948756741124,0.3366174055829228,0.030377668308702793,0.49808429118773945,0.555,0.5019157088122606,11.087848932676518,-0.4371185082202741,0.44949275810729517,1.2873563218390804
btc_eth_macro_gate_balanced,Current selected strategy,current,current,holdout,100,0.15847516496273428,0.6805756374853622,0.8712961436852513,0.7825043815075569,0.26715466399550514,-0.20252303847477415,0.22676579925650558,0.027881040892193308,0.2894981412639405,0.15000000000000002,0.7105018587360594,10.176579925650557,-0.07055615970418216,0.23506660530718304,0.8847583643122676
gmm_macro_direct,GMM direct BTC/ETH/cash allocation,gmm_macro,direct,development,10,0.6808141475226579,1.2468380241591885,1.7084690715619748,1.0413512107938274,0.5286560574333752,-0.6537795706826611,0.5057471264367817,0.013136288998357963,0.7691570881226054,0.024,0.23084291187739459,4.794745484400656,-0.23778635258240155,0.47862066020166805,1.9233716475095786
gmm_macro_direct,GMM direct BTC/ETH/cash allocation,gmm_macro,direct,holdout,10,-0.36913613147151714,-0.7186143444719154,-0.9239705760636813,-0.618856875220107,0.47973922215229525,-0.5964806181400628,0.4795539033457249,0.017657992565055763,0.7950743494423792,0.009500000000000001,0.2049256505576208,6.445167286245353,-0.2510281674199146,0.2709681421331145,1.9219330855018588
gmm_macro_direct,GMM direct BTC/ETH/cash allocation,gmm_macro,direct,development,25,0.6687415914053727,1.23313887242231,1.6897075617764439,1.0199540057416143,0.5286966216568518,-0.6556585764072047,0.5057471264367817,0.013136288998357963,0.7691570881226054,0.060000000000000005,0.23084291187739459,4.794745484400656,-0.23843948812700888,0.47754558896414445,1.9233716475095786
gmm_macro_direct,GMM direct BTC/ETH/cash allocation,gmm_macro,direct,holdout,25,-0.37523397489126964,-0.7386632601302544,-0.9498291025778941,-0.6249471562498973,0.4798062347263752,-0.600425125770514,0.4795539033457249,0.017657992565055763,0.7950743494423792,0.02375,0.2049256505576208,6.445167286245353,-0.2510281674199146,0.2709681421331145,1.9219330855018588
gmm_macro_direct,GMM direct BTC/ETH/cash allocation,gmm_macro,direct,development,50,0.648791659519969,1.2102573036825333,1.6582540050495969,0.9848518222160716,0.5287879612253809,-0.6587708372819838,0.5057471264367817,0.013136288998357963,0.7691570881226054,0.12000000000000001,0.23084291187739459,4.794745484400656,-0.2395280473680207,0.475753803568272,1.9233716475095786
gmm_macro_direct,GMM direct BTC/ETH/cash allocation,gmm_macro,direct,holdout,50,-0.38527715784726324,-0.7720092428452215,-0.9933466407070347,-0.6348060560070832,0.4799530047384499,-0.6069210496677497,0.4758364312267658,0.017657992565055763,0.7950743494423792,0.0475,0.2049256505576208,6.445167286245353,-0.2510281674199146,0.2709681421331145,1.9219330855018588
gmm_macro_direct,GMM direct BTC/ETH/cash allocation,gmm_macro,direct,development,100,0.6095258848475245,1.1643221160517885,1.5949384381864822,0.9166862615648247,0.5290595757463142,-0.6649231153601411,0.50519978106185,0.013136288998357963,0.7691570881226054,0.24000000000000002,0.23084291187739459,4.794745484400656,-0.24170516585004465,0.47217023277652737,1.9233716475095786
