name,method,universe,dynamic_budget,split,cost_bps,selected_development_candidate,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,Omega
equal_weight__btc_eth__static,equal_weight,btc_eth,False,development,10,False,0.21200039682524863,0.6525514726848459,0.6056263279988383,0.2882167020167797,0.48526132554274615,-0.7355590267385205,0.3243647234678625,0.030642750373692077,0.47085201793721976,0.0615,0.5291479820627802,11.184603886397607,-0.4320897947253527,0.44949275810729517,1.234678624813154,1.1474617823161724
equal_weight__btc_eth__static,equal_weight,btc_eth,False,holdout,10,False,0.2699382168428921,1.027743623907195,1.3040997384988156,1.4956833759602872,0.2660276052575855,-0.1804781822018856,0.23048327137546468,0.027881040892193308,0.2894981412639405,0.015,0.7105018587360594,10.176579925650557,-0.057686720710772965,0.246415793598165,0.8847583643122676,1.2895769489642939
equal_weight__btc_eth__static,equal_weight,btc_eth,False,development,25,False,0.1918769115264498,0.6180598853907883,0.5747037963256828,0.2589837260725055,0.48519746043817996,-0.7408840487248671,0.32336821126058796,0.030642750373692077,0.47085201793721976,0.15375,0.5291479820627802,11.184603886397607,-0.4329294666098096,0.44949275810729517,1.234678624813154,1.1389822874404791
equal_weight__btc_eth__static,equal_weight,btc_eth,False,holdout,25,False,0.2506806098543801,0.9700672636549106,1.2341802107524358,1.3610143521675673,0.26610866572870884,-0.1841866027754544,0.23048327137546468,0.027881040892193308,0.2894981412639405,0.037500000000000006,0.7105018587360594,10.176579925650557,-0.05983982286898448,0.2445206579453003,0.8847583643122676,1.27049385609868
equal_weight__btc_eth__static,equal_weight,btc_eth,False,development,50,False,0.15904202455012384,0.5604846991514749,0.5225295474356764,0.21218858004491367,0.48515075877359637,-0.7495314993693799,0.3223716990533134,0.030642750373692077,0.47085201793721976,0.3075,0.5291479820627802,11.184603886397607,-0.43432753933400514,0.44949275810729517,1.234678624813154,1.125002031744984
equal_weight__btc_eth__static,equal_weight,btc_eth,False,holdout,50,False,0.21919863958320418,0.8737059236516569,1.1147308422363915,1.151636015111534,0.2663388779734986,-0.19033673548493113,0.22862453531598512,0.027881040892193308,0.2894981412639405,0.07500000000000001,0.7105018587360594,10.176579925650557,-0.06342103525723375,0.24136530232033437,0.8847583643122676,1.239562092260337
equal_weight__btc_eth__static,equal_weight,btc_eth,False,development,100,False,0.09593473457893364,0.44509546592914223,0.4170873010901901,0.12401159521039473,0.4852814152834506,-0.7735948756741122,0.32037867463876435,0.030642750373692077,0.47085201793721976,0.615,0.5291479820627802,11.184603886397607,-0.4371185082202741,0.44949275810729517,1.234678624813154,1.09765186153534
equal_weight__btc_eth__static,equal_weight,btc_eth,False,holdout,100,False,0.15847516496273428,0.6805756374853622,0.8712961436852513,0.7825043815075569,0.26715466399550514,-0.20252303847477415,0.22676579925650558,0.027881040892193308,0.2894981412639405,0.15000000000000002,0.7105018587360594,10.176579925650557,-0.07055615970418216,0.23506660530718304,0.8847583643122676,1.1804752279225281
equal_weight__btc_eth__dynamic,equal_weight,btc_eth,True,development,10,False,0.17198063622353366,0.7402159952098658,0.46885105840537167,0.5806592850885227,0.26124122588208415,-0.29618166907864885,0.14499252615844543,0.015445939212755356,0.15738664673642253,0.031,0.8426133532635774,5.637767812655705,-0.1857706031896157,0.3635266873979206,0.5301444942700548,1.2603753052902644
equal_weight__btc_eth__dynamic,equal_weight,btc_eth,True,holdout,10,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
equal_weight__btc_eth__dynamic,equal_weight,btc_eth,True,development,25,False,0.16212790537089772,0.7079885609290202,0.4494153813483843,0.5426519977052645,0.2611882345168396,-0.29876957250041436,0.14449427005480817,0.015445939212755356,0.15738664673642253,0.0775,0.8426133532635774,5.637767812655705,-0.18662746144432163,0.3625040654068743,0.5301444942700548,1.2472921940194375
equal_weight__btc_eth__dynamic,equal_weight,btc_eth,True,holdout,25,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
equal_weight__btc_eth__dynamic,equal_weight,btc_eth,True,development,50,False,0.14587503557600412,0.6541223228675285,0.41683932105001664,0.48133187302727204,0.2611497219765795,-0.3030653978065959,0.14349775784753363,0.015445939212755356,0.15738664673642253,0.155,0.8426133532635774,5.637767812655705,-0.18805464304102903,0.3608005479069083,0.5301444942700548,1.2258157852620861
equal_weight__btc_eth__dynamic,equal_weight,btc_eth,True,holdout,50,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
equal_weight__btc_eth__dynamic,equal_weight,btc_eth,True,development,100,False,0.11399179017616223,0.5459515006413154,0.3495956480418559,0.3596953523149898,0.26125951393979346,-0.3169120463817897,0.14299950174389636,0.015445939212755356,0.15738664673642253,0.31,0.8426133532635774,5.637767812655705,-0.1909055731301822,0.35739670972614235,0.5301444942700548,1.184218846222081
equal_weight__btc_eth__dynamic,equal_weight,btc_eth,True,holdout,100,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
