candidate,method,universe,dynamic_budget,fold,test_groups,fold_sharpe
equal_weight__btc_eth_cash__dynamic,equal_weight,btc_eth_cash,True,12,"3,4",-0.7359800721939869
equal_weight__btc_eth_cash__dynamic,equal_weight,btc_eth_cash,True,13,"3,5",-0.7359800721939869
equal_weight__btc_eth_cash__dynamic,equal_weight,btc_eth_cash,True,14,"4,5",
volatility_targeting__btc_eth__static,volatility_targeting,btc_eth,False,0,"0,1",1.6250790134541468
volatility_targeting__btc_eth__static,volatility_targeting,btc_eth,False,1,"0,2",-0.009775392421295798
volatility_targeting__btc_eth__static,volatility_targeting,btc_eth,False,2,"0,3",-0.3983348657796082
volatility_targeting__btc_eth__static,volatility_targeting,btc_eth,False,3,"0,4",0.4224300900254787
volatility_targeting__btc_eth__static,volatility_targeting,btc_eth,False,4,"0,5",0.2595911077742015
volatility_targeting__btc_eth__static,volatility_targeting,btc_eth,False,5,"1,2",1.7437148455425693
volatility_targeting__btc_eth__static,volatility_targeting,btc_eth,False,6,"1,3",0.9519930432018315
volatility_targeting__btc_eth__static,volatility_targeting,btc_eth,False,7,"1,4",2.1493378005199446
volatility_targeting__btc_eth__static,volatility_targeting,btc_eth,False,8,"1,5",2.0659178443302064
volatility_targeting__btc_eth__static,volatility_targeting,btc_eth,False,9,"2,3",-0.5199553297744002
volatility_targeting__btc_eth__static,volatility_targeting,btc_eth,False,10,"2,4",0.41346295286885415
volatility_targeting__btc_eth__static,volatility_targeting,btc_eth,False,11,"2,5",0.20342862164058348
volatility_targeting__btc_eth__static,volatility_targeting,btc_eth,False,12,"3,4",-0.19470438003816445
volatility_targeting__btc_eth__static,volatility_targeting,btc_eth,False,13,"3,5",-0.3395228982902871
volatility_targeting__btc_eth__static,volatility_targeting,btc_eth,False,14,"4,5",0.8513940170202415
volatility_targeting__btc_eth__dynamic,volatility_targeting,btc_eth,True,0,"0,1",1.486250331507595
volatility_targeting__btc_eth__dynamic,volatility_targeting,btc_eth,True,1,"0,2",-0.50055206708941
volatility_targeting__btc_eth__dynamic,volatility_targeting,btc_eth,True,2,"0,3",-0.3409376561925283
volatility_targeting__btc_eth__dynamic,volatility_targeting,btc_eth,True,3,"0,4",-0.22038759546953823
volatility_targeting__btc_eth__dynamic,volatility_targeting,btc_eth,True,4,"0,5",-0.22038759546953823
volatility_targeting__btc_eth__dynamic,volatility_targeting,btc_eth,True,5,"1,2",1.5033330051371305
volatility_targeting__btc_eth__dynamic,volatility_targeting,btc_eth,True,6,"1,3",1.6755008746454199
volatility_targeting__btc_eth__dynamic,volatility_targeting,btc_eth,True,7,"1,4",1.7414086263052142
volatility_targeting__btc_eth__dynamic,volatility_targeting,btc_eth,True,8,"1,5",1.7414086263052142
volatility_targeting__btc_eth__dynamic,volatility_targeting,btc_eth,True,9,"2,3",-0.7662338724897609
volatility_targeting__btc_eth__dynamic,volatility_targeting,btc_eth,True,10,"2,4",-0.5916085820742978
volatility_targeting__btc_eth__dynamic,volatility_targeting,btc_eth,True,11,"2,5",-0.5916085820742978
volatility_targeting__btc_eth__dynamic,volatility_targeting,btc_eth,True,12,"3,4",-0.7359800721939869
volatility_targeting__btc_eth__dynamic,volatility_targeting,btc_eth,True,13,"3,5",-0.7359800721939869
volatility_targeting__btc_eth__dynamic,volatility_targeting,btc_eth,True,14,"4,5",
volatility_targeting__btc_eth_cash__static,volatility_targeting,btc_eth_cash,False,0,"0,1",1.6250790134541468
volatility_targeting__btc_eth_cash__static,volatility_targeting,btc_eth_cash,False,1,"0,2",-0.009775392421295798
volatility_targeting__btc_eth_cash__static,volatility_targeting,btc_eth_cash,False,2,"0,3",-0.3983348657796082
volatility_targeting__btc_eth_cash__static,volatility_targeting,btc_eth_cash,False,3,"0,4",0.4224300900254787
volatility_targeting__btc_eth_cash__static,volatility_targeting,btc_eth_cash,False,4,"0,5",0.2595911077742015
volatility_targeting__btc_eth_cash__static,volatility_targeting,btc_eth_cash,False,5,"1,2",1.7437148455425693
volatility_targeting__btc_eth_cash__static,volatility_targeting,btc_eth_cash,False,6,"1,3",0.9519930432018315
volatility_targeting__btc_eth_cash__static,volatility_targeting,btc_eth_cash,False,7,"1,4",2.1493378005199446
volatility_targeting__btc_eth_cash__static,volatility_targeting,btc_eth_cash,False,8,"1,5",2.0659178443302064
volatility_targeting__btc_eth_cash__static,volatility_targeting,btc_eth_cash,False,9,"2,3",-0.5199553297744002
volatility_targeting__btc_eth_cash__static,volatility_targeting,btc_eth_cash,False,10,"2,4",0.41346295286885415
volatility_targeting__btc_eth_cash__static,volatility_targeting,btc_eth_cash,False,11,"2,5",0.20342862164058348
volatility_targeting__btc_eth_cash__static,volatility_targeting,btc_eth_cash,False,12,"3,4",-0.19470438003816445
volatility_targeting__btc_eth_cash__static,volatility_targeting,btc_eth_cash,False,13,"3,5",-0.3395228982902871
volatility_targeting__btc_eth_cash__static,volatility_targeting,btc_eth_cash,False,14,"4,5",0.8513940170202415
volatility_targeting__btc_eth_cash__dynamic,volatility_targeting,btc_eth_cash,True,0,"0,1",1.486250331507595
volatility_targeting__btc_eth_cash__dynamic,volatility_targeting,btc_eth_cash,True,1,"0,2",-0.50055206708941
volatility_targeting__btc_eth_cash__dynamic,volatility_targeting,btc_eth_cash,True,2,"0,3",-0.3409376561925283
